cycle no,1 Ascending aorta [mm^2],2 Aortic arch I [mm^2],3 Brachiocephalic [mm^2],4 R. subclavian I [mm^2],5 R. com. carotid [mm^2],6 R. vertebral [mm^2],7 R. subclavian II [mm^2],8 R. radius [mm^2],9 R. ulnar I [mm^2],10 Aortic arch II [mm^2],11 L. com. carotid [mm^2],12 Thoracic aorta I [mm^2],13 Thoracic aorta II [mm^2],14 Intercoastals [mm^2],15 L. subclavian I [mm^2],16 L. vertebral [mm^2],17 L. subclavian II [mm^2],18 L. ulnar I [mm^2],19 L. radius [mm^2],20 Celiac I [mm^2],21 Celiac II [mm^2],22 Hepatic [mm^2],23 Splenic [mm^2],24 Gastric [mm^2],25 Abdominal aorta I [mm^2],26 Sup. mesenteric [mm^2],27 Abdominal aorta II [mm^2],28 R. renal [mm^2],29 Abdominal aorta III [mm^2],30 L. renal [mm^2],31 Abdominal aorta IV [mm^2],32 Inf. mesenteric [mm^2],33 Abdominal aorta V [mm^2],34 R. com. iliac [mm^2],35 R. ext. iliac [mm^2],36 R. int. iliac [mm^2],37 R. deep femoral [mm^2],38 R. femoral [mm^2],39 R. ext. carotid I [mm^2],40 L. int. carotid I [mm^2],41 R. post. tibial [mm^2],42 R. ant. tibial [mm^2],43 R. interosseous [mm^2],44 R. ulnar II [mm^2],45 L. ulnar II [mm^2],46 L. interosseous [mm^2],47 R. int. carotid I [mm^2],48 L. ext. carotid I [mm^2],49 L. com. iliac [mm^2],50 L. ext. iliac [mm^2],51 L. int. iliac [mm^2],52 L. deep femoral [mm^2],53 L. femoral [mm^2],54 L. post. tibial [mm^2],55 L. ant. tibial [mm^2],56 Basilar [mm^2],57 R. PCA I [mm^2],58 R. PCA II [mm^2],59 R. PCoA [mm^2],60 R. int. carotid II [mm^2],61 R. MCA [mm^2],62 R. ACA I [mm^2],63 R. ACA II [mm^2],64 ACoA [mm^2],65 L. ACA II [mm^2],66 L. ACA I [mm^2],67 L. MCA [mm^2],68 L. int. carotid II [mm^2],69 L. PCoA [mm^2],70 L. PCA II [mm^2],71 L. PCA I [mm^2],72 L. ext. carotid II [mm^2],73 R. ext. carotid II [mm^2],74 L. sup. thy. asc. ph. lyng. fac. occ. [mm^2],75 R. sup. thy. asc. ph. lyng. fac. occ. [mm^2],76 L. superf. temp. [mm^2],77 R. superf. temp. [mm^2],78 L. maxillary [mm^2],79 R. maxillary [mm^2],80 L. superf. temp. fron. bran. [mm^2],81 R. superf. temp. fron. bran. [mm^2],82 L. superf. temp. pari. bran. [mm^2],83 R. superf. temp. pari. bran. [mm^2]
1,13.153471081281529,11.574902577427617,2.4323592684506323,1.0489730038541378,0.37774603747671315,0.10160676445437491,0.29976179686085375,0.07741753802615804,0.14690787108925696,10.156458591676703,0.5517026016674151,8.506369482517394,6.307645257696408,0.5399475995938613,1.0489523091437687,0.14881716506749504,0.299756726779501,0.1469064613054169,0.07741704186785175,0.6338822844663728,0.4512143286134137,0.4130882972191497,0.24119460749290733,0.158050535885784,4.702301167352366,0.8454544547281188,4.142605250485917,0.45609333271619534,3.9153375582680856,0.45608942316456,3.0158465922674993,0.21162234997533666,2.0940997830973616,0.8955863534581698,0.6969606904561084,0.12697967026986376,0.12748628208776533,0.27513983544834303,0.36036968299257877,0.3013634448158726,0.1974045611162592,0.09653534008906747,0.03155818471821968,0.11529766716573904,0.11529709243381603,0.031558051068435324,0.21443483250988815,0.21101028063524696,0.8955863534581698,0.6969606904561084,0.12697967026986376,0.12748628208776533,0.27513983544834303,0.1974045611162592,0.09653534008906747,0.06296904313498988,0.0926186110122623,0.04056907567095019,0.06524486409310873,0.13717020489576304,0.08096357510005608,0.054007804913586935,0.05264339181461967,0.03332589234127838,0.04492112573974507,0.05131785540206744,0.09971514536334852,0.20616582721375357,0.029471762730189744,0.04959854943439722,0.04739269992855855,0.11263503727509241,0.11267395175060546,0.015771435115115646,0.01577260365135911,0.07672231862034153,0.07674273459581873,0.017352431903245705,0.017353801263874168,0.0243013941630839,0.024303760711589188,0.024301080137988082,0.02430344503544842
2,13.14981257654372,11.57164155553575,2.4319250183271577,1.0487364247671553,0.3776745190123275,0.10154251132136798,0.2995553834758245,0.07719841355028018,0.1466330159106902,10.153599516316428,0.5514976434983745,8.503936658833084,6.305746378680268,0.5398266184893978,1.0487096365396666,0.14865487835453733,0.2995507583904737,0.14663201502444398,0.07719812066137276,0.6336840670043518,0.45110083121807154,0.4130045879905343,0.241083035341059,0.1579959575048002,4.700869729169333,0.8452177568936324,4.141474047494173,0.455929032349875,3.914361383261596,0.45592474166047886,3.015121710677325,0.21156589875644186,2.093558855168298,0.895345367450395,0.6967963910693014,0.12694353052474422,0.12734130677424282,0.27484577531929055,0.3602927985031875,0.3009754447236733,0.19706393873163575,0.09634784910830989,0.03152434339976301,0.11512635321483572,0.1151259355112051,0.031524246569550406,0.213071006666047,0.2109532776357567,0.895345367450395,0.6967963910693014,0.12694353052474422,0.12734130677424282,0.27484577531929055,0.19706393873163575,0.09634784910830989,0.06265735468192835,0.09194624936666944,0.04040947637251627,0.06487272107968686,0.13592448853498104,0.08034890314172305,0.05374925022673526,0.05239328185546291,0.03318562753803234,0.04475086717917436,0.051086811187699914,0.09938496650690715,0.20534893459118594,0.029407130104473385,0.04937637382647261,0.047219265185258964,0.11256718338605978,0.11261529510122661,0.015757543380774355,0.015759012436664017,0.07664254676969412,0.07666795611907651,0.017336141304339924,0.017337866578886526,0.024269634490400767,0.02427265046857037,0.024269157611951458,0.024272171840431865
3,13.082297343473105,11.512268927205731,2.4225299887165654,1.0436804876608123,0.3762302197316147,0.10135184767975577,0.2983325294453675,0.07701704289826607,0.14617633123141624,10.101468673963693,0.5495243111703958,8.460289692793856,6.2734332738818,0.5383931712803767,1.0436648874845602,0.14839124009632687,0.2983299123081789,0.14617597606978305,0.07701698749104025,0.6312072686036465,0.4496445720157916,0.4117725129696851,0.240178710133011,0.1574506296930418,4.676806586816975,0.8418429322639811,4.120214336426433,0.454232738732114,3.8942214806801787,0.4542286430041317,2.999586053223445,0.21066149371490572,2.0827869008600093,0.8913627796166478,0.6949191075343617,0.12666649102542374,0.12692144177812506,0.2739510338191169,0.35876173029209224,0.30027521175499217,0.19671222947976008,0.09620829018063884,0.03148077116572004,0.11495327514495798,0.11495311614083589,0.03148073664898787,0.21400616749551696,0.21013284006766056,0.8913627796166478,0.6949191075343617,0.12666649102542374,0.12692144177812506,0.2739510338191169,0.19671222947976008,0.09620829018063884,0.0628550589874584,0.09242596341105766,0.04053252614668115,0.0651311829853823,0.13680236200709597,0.08081131270379074,0.0539273246899097,0.05257278500790151,0.0333001021973402,0.04486347559141979,0.051245322177159526,0.09949053050936486,0.20537953031815984,0.02944233236259096,0.04954704968091879,0.04732468129063069,0.11201205713896106,0.11204237402571869,0.01573903331135415,0.015739983523101058,0.07634775676391925,0.07636389217094301,0.017314494146384578,0.017315610756337956,0.02423425676717674,0.024236232055684148,0.024233767977131983,0.024235742382990536
4,13.016923046118293,11.454757872815405,2.4134307034661835,1.0387894575736807,0.37483197252654166,0.1011142568550855,0.2971627251817804,0.07685479125908008,0.14575034338536644,10.05101538769154,0.5474903105635668,8.418063245665609,6.242178605445458,0.5369897068819665,1.0387758215667628,0.14799083036566896,0.29716009490448136,0.14574991928469638,0.07685470698234348,0.6287950220084465,0.44822434361677743,0.4105729543742181,0.23928705320663501,0.15691535813116825,4.653538133935682,0.8385600400637805,4.099679316348103,0.4525726689479235,3.874783295252589,0.45256895376857176,2.984608952777623,0.20978567351979704,2.072409837158401,0.8875202889841406,0.6931011802041005,0.12639399650161598,0.1265013352025779,0.2730866266711231,0.3572812908386197,0.2991412881833491,0.19635968379881993,0.09606962124003815,0.03144019166047153,0.1147930206028488,0.1147928489571975,0.03144015209983969,0.21362379932212747,0.20931722923381277,0.8875202889841406,0.6931011802041005,0.12639399650161598,0.1265013352025779,0.2730866266711231,0.19635968379881993,0.09606962124003815,0.06273470540293663,0.09223085595916004,0.040488664124028455,0.06502639717234408,0.13646596506513117,0.08068029849151881,0.05385039779259396,0.05249827446532389,0.033275378422000144,0.04480208258139123,0.051164454429109864,0.09911770256197819,0.20433985839032776,0.029407952278889923,0.0494802997438646,0.04725327161500946,0.11146501099230104,0.11149267759508052,0.015722105889796268,0.01572297023024971,0.07606073688806851,0.0760754276689559,0.017294710435603877,0.017295724962486412,0.024201024976450942,0.024202806975389117,0.024200550598332055,0.02420233175893228
5,12.976264937034358,11.418993411713027,2.4077777947884065,1.0357503286871161,0.3739635256229482,0.10097065502181105,0.2964504190250468,0.07678247857471313,0.1455207188795009,10.019642000114485,0.5462311413489157,8.391811673756916,6.222761033743504,0.5361259884958499,1.0357396320767465,0.1477532649522923,0.29644820743032596,0.14552038862993377,0.0767824170786987,0.6273030786845535,0.4473491038206677,0.40983391767179156,0.2387463043267885,0.1565895570573475,4.639100137352326,0.836534446040257,4.086944525097684,0.45155314882362946,3.862729702622688,0.45154971115362524,2.9753205764441133,0.20924489463231338,2.065976830719364,0.8851413425446959,0.691978252247188,0.12622854588588175,0.1262568465916117,0.27255631120824136,0.35636186851304996,0.2984524226364638,0.19615976503226829,0.09599250800544401,0.03141987261999134,0.11471831507796598,0.11471817443062866,0.03141984152022089,0.2134934477750956,0.20881194510075493,0.8851413425446959,0.691978252247188,0.12622854588588175,0.1262568465916117,0.27255631120824136,0.19615976503226829,0.09599250800544401,0.06268402042518487,0.0921642426107821,0.04047505805592399,0.06499098953966458,0.13635800883937507,0.08064937440392853,0.05382314875565349,0.052471294788994705,0.03327044735367672,0.04477751317485507,0.051130538506222234,0.09889506643583369,0.203728689191095,0.029391274595326825,0.04945759787510306,0.04722331255626921,0.11112873233609387,0.11115394159586976,0.015712792859740633,0.01571358423017332,0.07588915203110669,0.07590255117495612,0.017283834843428394,0.017284763313404408,0.02418405671011874,0.02418568947095541,0.024183600433911833,0.024185232433566812
6,12.96153434278495,11.406037038845191,2.4057211284874884,1.0346460708450262,0.37364795413713536,0.1009153051552522,0.29620375474991995,0.07677109937903846,0.1454552871757416,10.008279488172494,0.5457694433735681,8.382302130524039,6.215724008537392,0.535812464350153,1.0346350644270115,0.14765805669146398,0.2962013603202752,0.14545486119069523,0.07677100071746057,0.6267627380933529,0.447030939511143,0.40956415663577955,0.2385508477987528,0.15647113637373478,4.633858384443342,0.8357964591373184,4.082307598521463,0.4511838237612671,3.8583330528227373,0.4511804878277125,2.9719309926477044,0.2090476733082937,2.063632083804621,0.8842763577715137,0.6915731715062602,0.1261689643712251,0.12617466154044504,0.27238452395189977,0.3560280419371271,0.2981858442332151,0.19611111408211487,0.0959774930125087,0.03141448980021122,0.11470206381738672,0.11470189215661841,0.031414449987335974,0.2133568659162333,0.20862797820193896,0.8842763577715137,0.6915731715062602,0.1261689643712251,0.12617466154044504,0.27238452395189977,0.19611111408211487,0.0959774930125087,0.06264645976926644,0.09209599126665059,0.04045922712306186,0.06495402261722401,0.1362361918262481,0.08059786155471141,0.05379619896447392,0.05244526601796955,0.03326016013785862,0.044757470568320606,0.051104957356076,0.09879884074965148,0.20346550668010666,0.029381279161847237,0.049434058659607066,0.04720065437897025,0.11100856822265993,0.11103324243298916,0.01571008234262543,0.015710858226641835,0.07583076945730254,0.07584389144679372,0.017280709341966405,0.017281619741378613,0.024179722008616376,0.024181324777755673,0.024179283104279834,0.024180885145219953
7,12.96855345124813,11.41222183275637,2.406695736571401,1.0351676691173655,0.3737984022419801,0.10094200877363,0.2963571314706314,0.07682994545094447,0.14555557584037299,10.013716534210639,0.5459917290325771,8.386876024832763,6.219151509021717,0.5359813234515597,1.0351574776527428,0.1477046315878895,0.29635476732275295,0.1455551272627914,0.07682982983046802,0.6270441825231567,0.44720002976279155,0.40970606600557014,0.2386729710691885,0.15654158567994658,4.636444837132485,0.8361813505364236,4.084582573244043,0.4513895687754374,3.8604750265977,0.4513864567213827,2.9735810274950314,0.20914995298926412,2.0647911835130226,0.8847179509559783,0.6917948470769163,0.12620689411946884,0.1262564334791,0.27252824271637366,0.35618728444145364,0.29831197553828254,0.1962198796175123,0.09602771941689636,0.03142643736191614,0.1147562937502086,0.114756108628417,0.0314263947759877,0.21343481538336492,0.2087157413748092,0.8847179509559783,0.6917948470769163,0.12620689411946884,0.1262564334791,0.27252824271637366,0.1962198796175123,0.09602771941689636,0.06266953111961508,0.09213748723192534,0.04046871483808472,0.06497651430099478,0.13630709922449868,0.08063091131114815,0.05381163496597609,0.05246035263503114,0.03326779275582154,0.04476893009132443,0.05112183232248145,0.09884165915955544,0.20358480717886576,0.029386795210285702,0.04944763787520164,0.047213049679492955,0.1110719549773422,0.11109699669161642,0.015713575566230428,0.01571436499738042,0.07587220789064371,0.07588553134780184,0.017284871739553072,0.017285797853823358,0.024189003926249408,0.024190636036101564,0.0241885777185251,0.024190209106303984
8,12.997087492638911,11.437335069140152,2.410653580287072,1.037294142716735,0.37440751987746906,0.10105125521529548,0.2968980232858656,0.07694067907930993,0.1457933763661184,10.035756384105806,0.5468868269269469,8.405337130181614,6.232845299289954,0.5366075138992357,1.0372831226394956,0.14789404764529868,0.2968954254376509,0.1457928240121408,0.0769405230163437,0.6281161603626207,0.4478314444225718,0.41023673601451555,0.2390816183952994,0.15678375457442859,4.646651987786518,0.8376339010568097,4.0935617886818445,0.45213578513771563,3.868952693587802,0.4521327091800652,2.9801092561209197,0.20953635692255898,2.069329589731608,0.886411472414118,0.6926110380812561,0.12633265533326352,0.1264735033889604,0.27297061947806356,0.3568321526161023,0.29883701203372315,0.196455899129687,0.09613071249723901,0.03145080213299403,0.11485986044052582,0.11485963848812125,0.03145074969941769,0.21373892631479136,0.20907269154053337,0.886411472414118,0.6926110380812561,0.12633265533326352,0.1264735033889604,0.27297061947806356,0.196455899129687,0.09613071249723901,0.06275234527724159,0.09228941740376188,0.04050376448906545,0.06505952597603194,0.13657796215440166,0.08074914517414232,0.053870978466231394,0.05251742823947675,0.03329232667484188,0.04481245614745645,0.05117948597128806,0.09903274942802506,0.20410934658440305,0.029408066577906584,0.04949905793338936,0.047261683818966636,0.11131618745380979,0.11134142428038975,0.015722577946883073,0.0157233758430698,0.07600834820975852,0.07602178983737634,0.017295496874191126,0.017296433275238162,0.0242088682908224,0.02421052273719094,0.024208454096202807,0.024210107860184238
9,13.038880503114887,11.47411865226238,2.4164574297107206,1.0404111075632492,0.37530037479179784,0.1012141952731475,0.29768051579476024,0.0770921233274177,0.14612994197036266,10.06803907886774,0.5482035865541965,8.432389810123702,6.2529321237496,0.5375296380809738,1.0404008986470836,0.14817994528941125,0.2976780119934285,0.14612940287598175,0.07709196665462312,0.6296919456259589,0.4487620550551357,0.4110204875681655,0.23968716944335042,0.15714286172297381,4.661650821200657,0.8397764103231089,4.106774509690708,0.4532358621195381,3.8814356112731447,0.4532329513987831,2.989725055994213,0.2101070017170071,2.076016601327765,0.888906912480621,0.693812196860865,0.12651880701587487,0.12679335042449602,0.27360751115824516,0.35777727037967477,0.29962429221000936,0.1967918639975268,0.09627525162334809,0.031485641676650564,0.11500530501758115,0.115005084114987,0.03148559001079949,0.21427800492100837,0.20959619262819928,0.888906912480621,0.693812196860865,0.12651880701587487,0.12679335042449602,0.27360751115824516,0.1967918639975268,0.09627525162334809,0.06289267781780547,0.09255697969152583,0.04056590706723656,0.06520627502973268,0.1370617361108315,0.08096444269938906,0.05397601533541344,0.05261862354854875,0.033337020306776086,0.044888245555326445,0.051277538103297625,0.09933291361896564,0.20492649702208013,0.0294431156713564,0.04958967014653073,0.04734495758091559,0.11167277796456981,0.11169801345459891,0.015735333798196475,0.015736134235666232,0.07620538706536711,0.07621883711873866,0.01731052541637756,0.01731146475156844,0.024237013979882635,0.0242386759150907,0.02423660738803784,0.02423826868136305
10,13.094592445656117,11.523147461996103,2.4241861742659077,1.0445654572719913,0.3764892199073209,0.10142873507088175,0.2987148929472174,0.07727783804692684,0.14655642984444547,10.111063082305556,0.5499516521609896,8.468425725156271,6.279657199648138,0.5387455661755746,1.0445544655601604,0.1485536339206508,0.29871217445114173,0.1465557986421393,0.07727764521784991,0.6317774028221006,0.4499898708351778,0.41205363560084035,0.2404763252156625,0.15761187568586885,4.6815732565924115,0.8426061039874391,4.124315851801509,0.4546838359254437,3.8980079509576355,0.454680956874605,3.0024892975907274,0.2108604253485063,2.084884476053952,0.8922093031739637,0.69539556874426,0.12676113447837978,0.12719974817192511,0.27443845024762575,0.3590360123193903,0.30065594477496954,0.19721002854534805,0.0964540830078813,0.03152849033080139,0.11518293605301692,0.11518268191299347,0.03152842988926682,0.21491973513086796,0.2102927424590637,0.8922093031739637,0.69539556874426,0.12676113447837978,0.12719974817192511,0.27443845024762575,0.19721002854534805,0.0964540830078813,0.06306279383461302,0.09287550091225584,0.04063963522196933,0.06538053530531658,0.13763490405547377,0.08121565833051567,0.054100828813956295,0.05273842844930955,0.033388546277777036,0.04497877373334762,0.05139506205215008,0.09971430013923392,0.20597243885423108,0.029486331805605313,0.049697644014557375,0.047445972857782626,0.11214596626535805,0.11217158224601542,0.015751624798715478,0.015752438465181234,0.07646344250528309,0.07647710262904502,0.017329705709323878,0.0173306608545429,0.02427193294135077,0.024273625645298596,0.024271534160678083,0.02427322625261943
