Artery No.,PR1 [mmHg*s/ml],PR2 [mmHg*s/ml],C [ml/mmHg],L [mmHg*s^2/ml]
8,16.713924009790066,15.834915841502937,0.038046681523968,0.025027304308959
14,1.7446793375918972,6.304621489903003,0.14449872179392,0.012842230573005
19,16.713924009790066,15.834915841502937,0.038046681523968,0.025027304308959
22,2.385042578618793,17.901712760411908,0.055344362840840995,0.02075084420805
23,3.2576572531221677,10.388532799492431,0.086569054039576,0.016591709297404
24,6.258446954792966,25.297426259794936,0.037136869555529,0.025332019852992
26,1.0487736752375199,4.2937826485812804,0.21593629206841,0.010505328710675
28,1.746641249008465,4.9154929873711355,0.17774178031754,0.011579177272882
30,1.746641249008465,4.9154929873711355,0.17774178031754,0.011579177272882
32,4.125639564024692,34.3390198768663,0.02920164101341,0.028567276411064
36,8.062168334291558,23.61271137007334,0.036167170080079,0.025669369503467005
37,6.290019062341853,13.091290543770548,0.060174810171002006,0.019900551007918
41,5.0490319641296315,14.093753703252666,0.060174810171002006,0.019900551007918
42,11.09887817287152,31.41745074170398,0.027101470124251997,0.029653505489417
43,39.41492527027712,424.01455271066584,0.0023831146234603,0.1
44,11.89865095108272,19.422354991283278,0.038046681523968,0.025027304308959
45,11.89865095108272,19.422354991283278,0.038046681523968,0.025027304308959
46,39.41492527027712,424.01455271066584,0.0023831146234603,0.1
51,8.062168334291558,23.61271137007334,0.036167170080079,0.025669369503467005
52,6.290019062341853,13.091290543770548,0.060174810171002006,0.019900551007918
54,5.0490319641296315,14.093753703252666,0.060174810171002006,0.019900551007918
55,11.09887817287152,31.41745074170398,0.027101470124251997,0.029653505489417
58,5.9477600002372,23.7910400009488,0.039291244567818,0.024627740739992996
61,2.91992000073642,11.67968000294568,0.080034690245299,0.017255729794713
63,5.89000000330628,23.56000001322512,0.039676552235793,0.024507866312575
65,5.89000000330628,23.56000001322512,0.039676552235793,0.024507866312575
67,2.91992000073642,11.67968000294568,0.080034690245299,0.017255729794713
70,5.9477600002372,23.7910400009488,0.039291244567818,0.024627740739992996
74,34.2912000079342,137.1648000317368,0.006815010636720901,0.05913426413126101
75,34.2912000079342,137.1648000317368,0.006815010636720901,0.05913426413126101
78,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
79,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
80,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
81,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
82,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
83,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
,,,,
R_total = ,0.6389133346598419,C_total = ,1.8290630503412078,
