cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
0,0,0,0,32.548839851293,8.0493008274949,32.548839851293,20.2867553390307,13.6461900526146,31.5558732145879,5.3425563238188,6.6621342363796,6.6621342363796,38.464659440891,31.674879704364898,19.3813096061124,19.1427856673823,42.5163289145755,463.429477980943,31.321005942366,31.321005942366,463.429477980943,31.674879704364898,19.3813096061124,19.1427856673823,42.5163289145755,171.456000039671,171.456000039671,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371
2,0.17131651832437594,1.1541848664919383,1.1541848664919383,37.56737837823209,9.29038120093565,37.56737837823209,23.414666002533767,15.750226044000598,36.42131131321567,6.166297657332463,7.68933451416716,7.68933451416716,44.39532782144265,36.558666802730606,22.369614240169764,22.09431351979143,49.071703411996666,534.8832901718633,36.15023106198291,36.15023106198291,534.8832901718633,36.558666802730606,22.369614240169764,22.09431351979143,49.071703411996666,197.89192051502945,197.89192051502945,164.9099337513426,164.9099337513426,164.9099337513426,164.9099337513426,164.9099337513426,164.9099337513426
4,0.21960228539449173,1.1976420568550425,1.3823003374963676,44.99227231155754,11.126551250455993,44.99227231155754,28.042388751848378,18.863133115268734,43.61969419451744,7.385017409508082,9.209070403393628,9.209070403393628,53.16971172682647,43.784196905500444,26.790790809650765,26.461079088643185,58.770335807724294,640.5987238188229,43.29503708485826,43.29503708485826,640.5987238188229,43.784196905500444,26.790790809650765,26.461079088643185,58.770335807724294,237.00368672061447,237.00368672061447,197.50307225378677,197.50307225378677,197.50307225378677,197.50307225378677,197.50307225378677,197.50307225378677
6,0.23900849503248067,1.2151076455292327,1.6796437085094749,54.67045407550677,13.51995749280192,54.67045407550677,34.07452097127392,22.920737266998692,53.00262391140523,8.973591116659758,11.190011855380572,11.190011855380572,64.60692322985214,53.202512413230956,32.553694742580944,32.15305950956403,71.41228437028622,778.396407028521,52.60813057528293,52.60813057528293,778.396407028521,53.202512413230956,32.553694742580944,32.15305950956403,71.41228437028622,287.9849917528337,287.9849917528337,239.98749311108875,239.98749311108875,239.98749311108875,239.98749311108875,239.98749311108875,239.98749311108875
8,0.2247148421109206,1.2022433578998286,2.019340492193752,65.72719028564562,16.254279094809128,65.72719028564562,40.965866511332486,27.556304137416248,63.722052548749566,10.7884403165131,13.453117427951629,13.453117427951629,77.67324432743388,63.962367172390096,39.137463279366514,38.655802231531275,85.85494455663034,935.8219101631308,63.24777555566079,63.24777555566079,935.8219101631308,63.962367172390096,39.137463279366514,38.655802231531275,85.85494455663034,346.22804350968124,346.22804350968124,288.5233695718373,288.5233695718373,288.5233695718373,288.5233695718373,288.5233695718373,288.5233695718373
10,0.1875794047668338,1.1688214642901504,2.3602485109862945,76.82335079334567,18.998350292575587,76.82335079334567,47.88178408169047,32.208399752319586,74.47970276760338,12.609760608153735,15.724292411405765,15.724292411405765,90.78615517095788,74.76058765789725,45.74470713879116,45.18173136756885,100.34910201323035,1093.8087353516762,73.92535763806222,73.92535763806222,1093.8087353516762,74.76058765789725,45.74470713879116,45.18173136756885,100.34910201323035,404.6787687932995,404.6787687932995,337.2323073048831,337.2323073048831,337.2323073048831,337.2323073048831,337.2323073048831,337.2323073048831
12,0.1387797874951198,1.1249018087456077,2.6550478190976103,86.41872626133286,21.371278607300926,86.41872626133286,53.862305519460264,36.23128713818589,83.78235235811229,14.184742515961252,17.688284974835177,17.688284974835177,102.12551016086994,84.09832027925317,51.458303800964295,50.82501133763636,112.88288636068033,1230.4274248188465,83.15876851922212,83.15876851922212,1230.4274248188465,84.09832027925317,51.458303800964295,50.82501133763636,112.88288636068033,455.2238789765283,455.2238789765283,379.3532324547176,379.3532324547176,379.3532324547176,379.3532324547176,379.3532324547176,379.3532324547176
14,0.0875753378648945,1.078817804078405,2.8643128579220427,93.23006049650391,23.05571585747618,93.23006049650391,58.10761416310428,39.086957629351865,90.3858933915019,15.302752772486908,19.082436754464734,19.082436754464734,110.17481861213655,90.72676521034631,55.51413430815575,54.8309271235289,121.7800675816613,1327.4070125209148,89.71316004377161,89.71316004377161,1327.4070125209148,90.72676521034631,55.51413430815575,54.8309271235289,121.7800675816613,491.10362548151187,491.10362548151187,409.2530212068432,409.2530212068432,409.2530212068432,409.2530212068432,409.2530212068432,409.2530212068432
16,0.04107527464579786,1.036967747181218,2.970200051501617,96.67656580262833,23.90803373237736,96.67656580262833,60.25572175278968,40.531914397076726,93.72725624714747,15.868461068156888,19.78787145200537,19.78787145200537,114.24773345232657,94.08072932921213,57.56636679024383,56.85790297514331,126.2820023317318,1376.478259366364,93.02965346309792,93.02965346309792,1376.478259366364,94.08072932921213,57.56636679024383,56.85790297514331,126.2820023317318,509.258620148092,509.258620148092,424.38218342796745,424.38218342796745,424.38218342796745,424.38218342796745,424.38218342796745,424.38218342796745
18,0.0042312644724726975,1.0038081380252255,2.981510983260267,97.04472350900953,23.999078824741996,97.04472350900953,60.485183858033885,40.68626552152742,94.08418257566228,15.928890358152346,19.863226397720023,19.863226397720023,114.68280459038219,94.43900173201165,57.785587460591834,57.07442571749753,126.76290162671287,1381.7200785667533,93.38392322392428,93.38392322392428,1381.7200785667533,94.43900173201165,57.785587460591834,57.07442571749753,126.76290162671287,511.19794726415176,511.19794726415176,425.9982893579077,425.9982893579077,425.9982893579077,425.9982893579077,425.9982893579077,425.9982893579077
20,0.020272084227518063,0.9817551241952337,2.927113685660137,95.27415458107977,23.561218612155784,95.27415458107977,59.38163919051561,39.94394966012741,92.36762834937636,15.638269731860118,19.50082429901167,19.50082429901167,112.59043106368838,92.71597387428498,56.73129659406788,56.03310990865344,124.4501282298817,1356.510767336351,91.68014514254196,91.68014514254196,1356.510767336351,92.71597387428498,56.73129659406788,56.03310990865344,124.4501282298817,501.87120420466584,501.87120420466584,418.2260034755298,418.2260034755298,418.2260034755298,418.2260034755298,418.2260034755298,418.2260034755298
22,0.03212511230500624,0.9710873989254943,2.8424832153669195,92.51953095696624,22.880002497593306,92.51953095696624,57.66476154545,38.78906617826401,89.69703995871265,15.186126677607332,18.93700474543032,18.93700474543032,109.33514884553733,90.0353139084235,55.09104724720414,54.413046954900615,120.85195131870006,1317.2905126670835,89.02943367958287,89.02943367958287,1317.2905126670835,90.0353139084235,55.09104724720414,54.413046954900615,120.85195131870006,487.3608022867146,487.3608022867146,406.134001878057,406.134001878057,406.134001878057,406.134001878057,406.134001878057,406.134001878057
24,0.03321313306724005,0.970108180239484,2.7575162194208795,89.75395381327311,22.19607758681509,89.75395381327311,55.94105688680027,37.62959040338461,87.01583220721503,14.732185716099929,18.370943212775877,18.370943212775877,106.06692228275733,87.34399453299143,53.444275592472636,52.78654196270423,117.23946657217482,1277.9143020902013,86.36818189465195,86.36818189465195,1277.9143020902013,87.34399453299143,53.444275592472636,52.78654196270423,117.23946657217482,472.79270102641965,472.79270102641965,393.99391749530105,393.99391749530105,393.99391749530105,393.99391749530105,393.99391749530105,393.99391749530105
26,0.026955261223640347,0.9757402648987237,2.690619606400256,87.57654666947091,21.65760662427158,87.57654666947091,54.58394166544107,36.716706508228974,84.90485116825087,14.374786793164539,17.925268996873346,17.925268996873346,103.49376684516997,85.22505236293374,52.14773162391964,51.505954437776616,114.39526816971892,1246.9124396393606,84.27291268070884,84.27291268070884,1246.9124396393606,85.22505236293374,52.14773162391964,51.505954437776616,114.39526816971892,461.3228753417018,461.3228753417018,384.4357294253509,384.4357294253509,384.4357294253509,384.4357294253509,384.4357294253509,384.4357294253509
28,0.017254098009277036,0.9844713117916507,2.648837813445195,86.21659778187674,21.321292403664184,86.21659778187674,53.73632465413571,36.14654422082521,83.58639020708281,14.151565210991988,17.64691308357011,17.64691308357011,101.88664440832373,83.9016190972495,51.33794575875911,50.70613453043894,112.61885971780085,1227.5495251410887,82.96426489528066,82.96426489528066,1227.5495251410887,83.9016190972495,51.33794575875911,50.70613453043894,112.61885971780085,454.1591362471413,454.1591362471413,378.4659468469553,378.4659468469553,378.4659468469553,378.4659468469553,378.4659468469553,378.4659468469553
30,0.0074545032605934525,0.993290947065466,2.6310666203397957,85.63816606352269,21.17824672429532,85.63816606352269,53.3758048075238,35.90403514224722,83.02560469057687,14.056621610884932,17.528519009561315,17.528519009561315,101.20308151766623,83.33871869343292,50.993516763113355,50.365944389768615,111.86329382652725,1219.313830397155,82.40765325042352,82.40765325042352,1219.313830397155,83.33871869343292,50.993516763113355,50.365944389768615,111.86329382652725,451.1121585613569,451.1121585613569,375.9267987756405,375.9267987756405,375.9267987756405,375.9267987756405,375.9267987756405,375.9267987756405
32,0.00028274865972583737,1.0002544737937533,2.631736157844291,85.65995873253094,21.183636033084294,85.65995873253094,53.389387551067806,35.91317177828091,83.04673253118114,14.060198652713607,17.532979558292553,17.532979558292553,101.22883504975955,83.35992621334537,51.00649327678089,50.37876120271344,111.89176010328903,1219.624113813352,82.42862383858046,82.42862383858046,1219.624113813352,83.35992621334537,51.00649327678089,50.37876120271344,111.89176010328903,451.22695478375425,451.22695478375425,376.02246229429846,376.02246229429846,376.02246229429846,376.02246229429846,376.02246229429846,376.02246229429846
34,0.005070357954009074,1.004563322158608,2.643745617768992,86.05085272032056,21.280303788793958,86.05085272032056,53.63302052631411,36.07705515084264,83.42570152594067,14.124359868779967,17.612988192417333,17.612988192417333,101.69077483583222,83.74032441177468,51.23925233778372,50.60865572003301,112.40235825153404,1225.1896515570895,82.80477220424663,82.80477220424663,1225.1896515570895,83.74032441177468,51.23925233778372,50.60865572003301,112.40235825153404,453.2860487450802,453.2860487450802,377.73837392862043,377.73837392862043,377.73837392862043,377.73837392862043,377.73837392862043,377.73837392862043
36,0.007007767923032638,1.0063069911307294,2.660419697932166,86.59357468521932,21.414518476049107,86.59357468521932,53.971283511087805,36.30459281770184,83.95186668553967,14.213442081199592,17.72407315273255,17.72407315273255,102.33213765079881,84.26847389512415,51.562417847823326,50.9278440627974,113.11127892809954,1232.9169118229215,83.32702116812088,83.32702116812088,1232.9169118229215,84.26847389512415,51.562417847823326,50.9278440627974,113.11127892809954,456.1449198341988,456.1449198341988,380.1207665027244,380.1207665027244,380.1207665027244,380.1207665027244,380.1207665027244,380.1207665027244
