cyclo no.,Relative error,58 R. PCA II Rtotal[mmHg*s/ml],58 R1[mmHg*s/ml],58 R2[mmHg*s/ml],70 L. PCA II Rtotal[mmHg*s/ml],70 R1[mmHg*s/ml],70 R2[mmHg*s/ml],61 R. MCA Rtotal[mmHg*s/ml],61 R1[mmHg*s/ml],61 R2[mmHg*s/ml],67 L. MCA Rtotal[mmHg*s/ml],67 R1[mmHg*s/ml],67 R2[mmHg*s/ml],63 R. ACA II Rtotal[mmHg*s/ml],63 R1[mmHg*s/ml],63 R2[mmHg*s/ml],65 L. ACA II Rtotal[mmHg*s/ml],65 R1[mmHg*s/ml],65 R2[mmHg*s/ml]
0,0,29.738800001186,5.9477600002372,23.7910400009488,14.5996000036821,2.91992000073642,11.67968000294568,29.4500000165314,5.89000000330628,23.56000001322512,29.4500000165314,5.89000000330628,23.56000001322512,14.5996000036821,2.91992000073642,11.67968000294568,29.738800001186,5.9477600002372,23.7910400009488
2,1.5280539848338495,70.2231608350159,14.04463216700318,56.17852866801272,27.291710940183624,5.458342188036725,21.8333687521469,58.689532470068855,11.737906494013771,46.951625976055084,55.47177469372329,11.094354938744658,44.37741975497863,32.97968133215831,6.595936266431661,26.383745065726643,70.63704266257623,14.127408532515247,56.50963413006099
4,0.29560198409772065,88.90545594021553,17.781091188043106,71.12436475217243,33.04282119898373,6.6085642397967455,26.434256959186982,70.70562973262666,14.141125946525333,56.564503786101334,67.2396099981527,13.44792199963054,53.79168799852216,36.34176345204063,7.268352690408126,29.073410761632505,89.31539287985447,17.863078575970896,71.45231430388358
6,0.05421517605341272,92.90056332852026,18.580112665704053,74.32045066281621,34.63508252015756,6.927016504031513,27.70806601612605,73.9436756316544,14.78873512633088,59.15494050532352,70.5204765625841,14.104095312516819,56.416381250067275,37.48042937731101,7.496085875462202,29.98434350184881,93.22664613027364,18.645329226054727,74.58131690421891
8,0.0824156666458749,99.67762369648284,19.935524739296568,79.74209895718627,36.966811796891065,7.393362359378212,29.57344943751285,79.15247329531289,15.830494659062579,63.321978636250314,75.38111533140282,15.076223066280564,60.304892265122255,40.22199470437252,8.044398940874505,32.17759576349802,100.14164870126066,20.028329740252133,80.11331896100853
10,0.11849693712314896,110.08836038148404,22.017672076296808,88.07068830518723,40.46211436039822,8.092422872079643,32.36969148831857,86.9368411788515,17.3873682357703,69.5494729430812,82.60776641328762,16.521553282657525,66.0862131306301,44.03068496031928,8.806136992063855,35.22454796825542,110.82147948586625,22.16429589717325,88.657183588693
12,0.12109175223902435,121.84939566110702,24.369879132221406,97.47951652888563,44.4892526412254,8.89785052824508,35.59140211298032,95.83558839202523,19.167117678405045,76.66847071362018,90.90045152852683,18.180090305705367,72.72036122282147,48.1825573399579,9.63651146799158,38.54604587196632,122.89908990886444,24.579817981772887,98.31927192709155
14,0.10196107994593052,132.82915189403894,26.56583037880779,106.26332151523115,48.34954228835648,9.669908457671296,38.679633830685184,104.30756987640777,20.861513975281554,83.44605590112621,98.83239171700019,19.76647834340004,79.06591337360015,52.017238754468096,10.40344775089362,41.61379100357448,134.17692144719626,26.835384289439254,107.34153715775702
16,0.07269134391033628,141.3806733343556,28.276134666871123,113.10453866748449,51.47080395039063,10.294160790078127,41.17664316031251,111.0971080800165,22.2194216160033,88.8776864640132,105.23078221916812,21.046156443833624,84.1846257753345,55.01379674358647,11.002759348717294,44.01103739486918,142.95507211476976,28.59101442295395,114.3640576918158
18,0.043787301572581136,146.53088817791905,29.30617763558381,117.22471054233525,53.49919480367369,10.699838960734738,42.79935584293895,115.43410190118722,23.086820380237445,92.34728152094978,109.37085768411386,21.87417153682277,87.49668614729109,56.86699009529156,11.373398019058312,45.49359207623325,148.22810783438337,29.645621566876674,118.5824862675067
20,0.01765181229284989,148.1245873484654,29.62491746969308,118.49966987877232,54.349116773717434,10.869823354743486,43.479293418973946,117.14900390881753,23.429800781763507,93.71920312705403,111.08195584228173,22.216391168456347,88.86556467382539,57.533038440869575,11.506607688173915,46.02643075269566,149.83661964841252,29.967323929682504,119.86929571873002
22,0.010298608350439682,146.80644419656656,29.361288839313314,117.44515535725326,54.19645108489746,10.839290216979492,43.35716086791797,116.65580201348133,23.331160402696266,93.32464161078506,110.73346101011782,22.146692202023566,88.58676880809426,57.221177485130816,11.444235497026163,45.77694198810465,148.447821852331,29.6895643704662,118.7582574818648
24,0.02364909572721895,143.76121240281262,28.752242480562522,115.00896992225009,53.39796383714337,10.679592767428675,42.7183710697147,114.77010456998698,22.954020913997397,91.81608365598959,109.06624476847838,21.813248953695677,87.25299581478271,56.31096425640125,11.26219285128025,45.048771405121,145.28823077779637,29.057646155559276,116.2305846222371
26,0.02755988680965586,140.27304879180457,28.054609758360915,112.21843903344366,52.35857482341125,10.471714964682251,41.886859858729004,112.40328695465504,22.480657390931007,89.92262956372403,106.91661196537976,21.38332239307595,85.5332895723038,55.21512794875897,11.043025589751794,44.17210235900718,141.68451630228628,28.336903260457255,113.34761304182902
28,0.023936310244911274,137.30929169799612,27.461858339599225,109.8474333583969,51.40343966848657,10.280687933697314,41.122751734789254,110.27326502280633,22.054653004561267,88.21861201824507,104.95194746372886,20.99038949274577,83.96155797098308,54.251458175580254,10.85029163511605,43.4011665404642,138.63225221708572,27.726450443417146,110.90580177366859
30,0.016209870862130014,135.3387143371898,27.067742867437957,108.27097146975183,50.71409145084537,10.142818290169075,40.5712731606763,108.76675476829706,21.753350953659414,87.01340381463766,103.54111474744172,20.708222949488345,82.83289179795338,53.584996679095845,10.71699933581917,42.86799734327668,136.60976240189706,27.32195248037941,109.28780992151763
32,0.008256786277064988,134.40178095977907,26.880356191955816,107.52142476782326,50.33722957793473,10.067445915586946,40.269783662347784,107.9685233340522,21.59370466681044,86.37481866724175,102.77545613643073,20.555091227286148,82.22036490914459,53.24499283429041,10.648998566858081,42.595994267432324,135.65388910404317,27.130777820808632,108.52311128323453
34,0.002339322813977446,134.29039941722857,26.858079883445715,107.43231953378286,50.23125005134506,10.046250010269011,40.185000041076044,107.77157203874772,21.554314407749544,86.21725763099818,102.56621276860336,20.513242553720673,82.05297021488269,53.17643494307434,10.635286988614869,42.541147954459475,135.54711403639854,27.109422807279707,108.43769122911883
36,0.003570644361982246,134.70802481398078,26.94160496279616,107.76641985118464,50.31423898679857,10.062847797359714,40.251391189438856,107.98577090634674,21.59715418126935,86.3886167250774,102.74336248577808,20.548672497155614,82.19468998862246,53.28937607484348,10.657875214968696,42.631500859874784,135.98270552106385,27.19654110421277,108.78616441685108
38,0.005591480420365234,135.36969848793655,27.073939697587306,108.29575879034923,50.49816314459694,10.099632628919387,40.39853051567755,108.41266975408898,21.682533950817795,86.73013580327118,103.12545606536128,20.625091213072256,82.50036485228902,53.49246049212708,10.698492098425415,42.79396839370166,136.66701569295026,27.33340313859005,109.3336125543602
40,0.005713960814229619,136.0514311248667,27.21028622497334,108.84114489989337,50.708371451998474,10.141674290399695,40.56669716159878,108.88711285570776,21.77742257114155,87.1096902845662,103.55922305511908,20.711844611023814,82.84737844409526,53.71114623279794,10.742229246559587,42.96891698623835,137.36983466799077,27.473966933598152,109.89586773439261
42,0.004631228251858369,136.60809896766156,27.321619793532314,109.28647917412925,50.8925866916119,10.178517338322381,40.714069353289524,109.29554012858179,21.85910802571636,87.43643210286544,103.93773802821474,20.78754760564295,83.1501904225718,53.895355420872676,10.779071084174536,43.11628433669814,137.94240662133151,27.5884813242663,110.3539252970652
44,0.0030072073632293993,136.97206611641099,27.394413223282196,109.57765289312879,51.022763815061644,10.204552763012328,40.818211052049314,109.57884795481354,21.915769590962707,87.66307836385083,104.20403720461545,20.84080744092309,83.36322976369236,54.020141976482996,10.8040283952966,43.2161135811864,138.31574590013543,27.663149180027084,110.65259672010833
46,0.0015053809921228287,137.13875630142417,27.427751260284833,109.71100504113933,51.09189164399314,10.218378328798627,40.87351331519451,109.72448362367325,21.94489672473465,87.7795868989386,104.34437353565502,20.868874707131006,83.47549882852402,54.08155467950188,10.816310935900376,43.2652437436015,138.48570373146248,27.697140746292494,110.78856298516997
48,0.0003495345935456556,137.14549983724578,27.429099967449158,109.71639986979663,51.10796418921447,10.221592837842895,40.88637135137158,109.75254744454244,21.950509488908487,87.80203795563395,104.37570788007685,20.87514157601537,83.50056630406148,54.09001434804762,10.818002869609524,43.272011478438095,138.4911324786956,27.698226495739117,110.79290598295647
50,0.0008045110089289702,137.04918075465284,27.40983615093057,109.63934460372228,51.08702246352014,10.217404492704029,40.869617970816115,109.70013823400444,21.94002764680089,87.76011058720356,104.33134554190028,20.866269108380056,83.46507643352022,54.06309344851831,10.812618689703662,43.25047475881465,138.39085660204927,27.678171320409852,110.71268528163941
52,0.001176367195394927,136.9074668344092,27.38149336688184,109.52597346752736,51.04695460755683,10.209390921511366,40.83756368604546,109.6075773881261,21.92151547762522,87.68606191050088,104.2481895920214,20.84963791840428,83.39855167361712,54.01931948332585,10.80386389666517,43.21545558666068,138.24433798458494,27.648867596916986,110.59547038766794
54,0.001168690031503219,136.76639855627297,27.353279711254594,109.41311884501837,51.003079082324405,10.20061581646488,40.80246326585952,109.5087787361156,21.90175574722312,87.60702298889248,104.15770341114452,20.831540682228905,83.32616272891562,53.97394221488855,10.79478844297771,43.17915377191084,138.09892968284203,27.619785936568405,110.47914374627362
56,0.0009221487313570044,136.6549296584139,27.33098593168278,109.32394372673112,50.965867158245075,10.193173431649015,40.77269372659606,109.42646802568304,21.885293605136606,87.54117442054643,104.08129059710689,20.816258119421377,83.26503247768551,53.93693149953181,10.787386299906363,43.14954519962545,137.98431670531411,27.596863341062825,110.3874533642513
58,0.000576141504570372,136.6549296584139,27.33098593168278,109.32394372673112,50.965867158245075,10.193173431649015,40.77269372659606,109.42646802568304,21.885293605136606,87.54117442054643,104.08129059710689,20.816258119421377,83.26503247768551,53.93693149953181,10.787386299906363,43.14954519962545,137.98431670531411,27.596863341062825,110.3874533642513
60,0.0,136.6549296584139,27.33098593168278,109.32394372673112,50.965867158245075,10.193173431649015,40.77269372659606,109.42646802568304,21.885293605136606,87.54117442054643,104.08129059710689,20.816258119421377,83.26503247768551,53.93693149953181,10.787386299906363,43.14954519962545,137.98431670531411,27.596863341062825,110.3874533642513
