cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
1,76.09635466337204,16.858642227947712,5.352466907352209,39.85131298750639,5.437569513916969,8.292291671037674,0.3040713556110859
2,129.60654976963997,33.14760068804026,9.718602169305086,61.673138212412596,8.234506335109472,16.223637349903584,0.6090650148689747
3,181.34917905926704,49.57006387785077,14.640459075570107,80.35441451519728,11.042172841727734,24.82696597650647,0.9151027724146843
4,232.43821743875742,65.84985036030412,19.773715246468782,99.06195763126016,13.826571069657803,32.70641518011689,1.2197079509496689
5,289.4081714041531,83.8254194483161,25.56635609269142,118.89705573394895,16.977443113923073,42.587956335395575,1.5539406798779964
6,339.40104055032134,100.10004967823625,30.815965250134468,136.61196557432413,19.756389565765858,50.256510362029076,1.860160119831562
7,389.350608702749,116.38751269876957,35.88866748660803,154.1360555589199,22.558948200196028,58.21497765555978,2.1644471026957035
8,439.01202538236976,132.6843553185463,40.79060164093971,171.54987635836005,25.357223216444254,66.1558235436678,2.4741453044116497
9,487.71245696395636,148.95773231610656,45.47858673706651,188.4490332044661,28.149084359407425,73.90136905759573,2.7766512893140316
10,536.4355351217091,165.26473100483418,50.041732866317034,205.26687268912792,30.95336201786995,81.8230954669416,3.085741076618433
11,584.462896451354,181.55838669463992,54.69235619530082,221.50934981927276,33.74120719730854,89.5749247148633,3.386671829968691
12,632.7537552751601,197.8524388037622,59.65841527655721,237.63612781837583,36.53238143026829,97.38027979061007,3.694112155586481
13,680.6405012942851,214.11556361615658,64.87594557181,253.23307153582573,39.31952666118741,105.1010056398809,3.9953882694244385
14,729.8251110687852,230.4969053082168,70.68463196977973,268.8891482129693,42.136120304465294,113.30885515734553,4.30945011600852
15,778.4661623500288,246.78807150572538,76.90623194724321,284.1095066666603,44.93688574805856,121.1116963326931,4.6137701496481895
16,827.3439278230071,263.07694137096405,83.35795768350363,299.3195576071739,47.73034582659602,128.9343075118959,4.924817822873592
