cycle no,1 Ascending aorta [ml/s],2 Aortic arch I [ml/s],3 Brachiocephalic [ml/s],4 R. subclavian I [ml/s],5 R. com. carotid [ml/s],6 R. vertebral [ml/s],7 R. subclavian II [ml/s],8 R. radius [ml/s],9 R. ulnar I [ml/s],10 Aortic arch II [ml/s],11 L. com. carotid [ml/s],12 Thoracic aorta I [ml/s],13 Thoracic aorta II [ml/s],14 Intercoastals [ml/s],15 L. subclavian I [ml/s],16 L. vertebral [ml/s],17 L. subclavian II [ml/s],18 L. ulnar I [ml/s],19 L. radius [ml/s],20 Celiac I [ml/s],21 Celiac II [ml/s],22 Hepatic [ml/s],23 Splenic [ml/s],24 Gastric [ml/s],25 Abdominal aorta I [ml/s],26 Sup. mesenteric [ml/s],27 Abdominal aorta II [ml/s],28 R. renal [ml/s],29 Abdominal aorta III [ml/s],30 L. renal [ml/s],31 Abdominal aorta IV [ml/s],32 Inf. mesenteric [ml/s],33 Abdominal aorta V [ml/s],34 R. com. iliac [ml/s],35 R. ext. iliac [ml/s],36 R. int. iliac [ml/s],37 R. deep femoral [ml/s],38 R. femoral [ml/s],39 R. ext. carotid I [ml/s],40 L. int. carotid I [ml/s],41 R. post. tibial [ml/s],42 R. ant. tibial [ml/s],43 R. interosseous [ml/s],44 R. ulnar II [ml/s],45 L. ulnar II [ml/s],46 L. interosseous [ml/s],47 R. int. carotid I [ml/s],48 L. ext. carotid I [ml/s],49 L. com. iliac [ml/s],50 L. ext. iliac [ml/s],51 L. int. iliac [ml/s],52 L. deep femoral [ml/s],53 L. femoral [ml/s],54 L. post. tibial [ml/s],55 L. ant. tibial [ml/s],56 Basilar [ml/s],57 R. PCA I [ml/s],58 R. PCA II [ml/s],59 R. PCoA [ml/s],60 R. int. carotid II [ml/s],61 R. MCA [ml/s],62 R. ACA I [ml/s],63 R. ACA II [ml/s],64 ACoA [ml/s],65 L. ACA II [ml/s],66 L. ACA I [ml/s],67 L. MCA [ml/s],68 L. int. carotid II [ml/s],69 L. PCoA [ml/s],70 L. PCA II [ml/s],71 L. PCA I [ml/s],72 L. ext. carotid II [ml/s],73 R. ext. carotid II [ml/s],74 L. sup. thy. asc. ph. lyng. fac. occ. [ml/s],75 R. sup. thy. asc. ph. lyng. fac. occ. [ml/s],76 L. superf. temp. [ml/s],77 R. superf. temp. [ml/s],78 L. maxillary [ml/s],79 R. maxillary [ml/s],80 L. superf. temp. fron. bran. [ml/s],81 R. superf. temp. fron. bran. [ml/s],82 L. superf. temp. pari. bran. [ml/s],83 R. superf. temp. pari. bran. [ml/s]
1,76.83862742718078,73.15365131392544,4.201624411153841,3.383283170773072,0.9003630267208882,0.8391901614051643,2.6801725460387096,1.1836413810921376,1.5738505187887,64.32328566705074,9.418558145488412,60.090336148055215,53.48084391225221,7.523742914548023,4.934937411753636,2.398144844419892,2.68012905450246,1.5738486042535202,1.1836156462194916,9.224152319616444,6.2029499553986875,3.045931544970654,4.32674620516999,1.8937189406104735,44.924178524234506,11.441311313430612,33.739823717444416,8.964044264595167,24.875925778812846,8.963197708456496,16.28922744230416,1.608441393427578,15.07995690714597,7.63600173238,5.862679255570606,1.854092852097836,2.692535189622183,3.290312790223483,0.8911501396774182,8.581463271325132,2.4337450925103346,0.9653315585886896,0.11647096184938974,1.471871729009625,1.4718820920571862,0.11645920582195911,0.052220166336202294,0.886535002761672,7.63600173238,5.862679255570606,1.854092852097836,2.692535189622183,3.290312790223483,2.4337450925103346,0.9653315585886896,3.254708821657183,3.3041638878445125,1.3306140546819425,-1.9533378220313042,2.0412258320795553,2.772729782501989,-0.7258828782337958,1.45117219382678,-2.1767951840336845,1.4194416529571074,3.5964133643694107,3.683870070876799,7.265599764136871,1.3664359717305505,1.3692215146935456,0.007644408050984377,0.7333722825802925,0.7370981084001448,0.1633368298947207,0.16415754965918605,0.5476927557791417,0.5503741281202854,0.1944520418143754,0.1954318542110355,0.276903941720973,0.2782290423292158,0.27593436400271615,0.2772559181014266
2,101.12224385554832,94.97999522375264,6.196423932531409,4.905341563252882,1.2998402300409793,1.1283460232664306,3.791344282864224,1.6655811866113113,2.13392653543938,82.51865128329031,12.522786438150938,75.58007720193453,66.83837094017171,8.83776186842187,7.012254722598234,3.236296510349836,3.7911867070086815,2.1338054724937923,1.6655488683043085,10.855965915974547,7.354822993422105,3.5037334837510863,5.135081188527728,2.221546544421298,56.05262762316057,13.346820117859863,42.7328559512589,10.664660393275286,32.07873609153884,10.663431403760054,21.454947018232932,1.845600319264696,19.651347719910667,9.835756139846236,7.639647105052008,2.2045479909341616,3.348564588505008,4.303286403618735,1.2653051978191014,11.2663953351413,3.0614283800602906,1.251858152585121,0.14416353179139327,1.9912720864466107,1.9911628498885725,0.14415165707524102,0.03938616711441847,1.2604197798417902,9.835756139846236,7.639647105052008,2.2045479909341616,3.348564588505008,4.303286403618735,3.0614283800602906,1.251858152585121,4.3611777004284304,4.453705455193563,1.7874373651963276,-2.633816810570989,2.6750731380899704,3.6954026245674076,-1.0178930779433546,1.9313632171652748,-2.9503223777357843,1.8706175276423598,4.822406564069556,4.613138635775751,9.42076221801903,1.8720940598929752,1.8445984030352112,-0.01851147313495218,1.0264153218888077,1.030217403738017,0.23514521010499428,0.23602731499335974,0.7471754064091655,0.7499167339313265,0.28019736365388676,0.28125182557593187,0.37438452763303964,0.37575483625949746,0.3733668731324531,0.37473411566948595
3,87.91666713614553,82.216354504558,5.660241026716795,4.3883526580814936,1.265691698936598,0.7374689129850479,3.640461983703508,1.6112585389671286,2.0245674708660513,73.82338459755877,8.347144970895554,67.98608991159391,60.08235921902707,7.833012742122745,5.78291646591993,2.1312608093001217,3.6404801470755026,2.0245329833112518,1.6112911549543922,9.642715674001098,6.536398123146987,3.1044145727843406,4.564022336319348,1.9710327011758044,50.38813341702669,11.819883119552498,38.54846187117184,9.474166653775734,29.06658687484965,9.473060936823249,19.56456834458033,1.635570240755793,17.898360138294304,8.9418312424968,6.975637920792865,1.960040880115828,3.021639335159938,3.9452033772820214,1.240182306163722,7.103524400732694,2.783393185787658,1.1549458807773605,0.1344368597612928,1.8894413581586988,1.8894032264972567,0.13443742413113716,0.017549294647036074,1.2378855636947415,8.9418312424968,6.975637920792865,1.960040880115828,3.021639335159938,3.9452033772820214,2.783393185787658,1.1549458807773605,2.861446249572814,3.0238163125127846,1.091669429068632,-1.9104235563313638,1.9154071301097444,2.645755085781294,-0.729988774224253,1.3002167126403656,-2.031527261764991,1.3305238059376172,3.363478988963738,2.5182504041329277,5.873890871409681,1.2419347538144565,1.122521833981321,-0.11312340579135402,1.0018637007558044,1.0035591427803592,0.23528250628729255,0.2357160986271746,0.720590409816904,0.7218072161734894,0.28065040467305763,0.2811708829753213,0.3605685577492996,0.36118835508774766,0.3597278357088856,0.3603467017144557
4,78.97540781301967,73.88372506421808,5.208133946236237,4.032369516520181,1.1943797752791807,0.6363277889203716,3.426263201784576,1.533782395364137,1.907291654239114,66.76808688116677,7.248085720466203,61.705640138904066,54.68750956470786,7.224109684644399,5.22064953620698,1.8262679754547113,3.4261000865605498,1.907164176731666,1.5337452876123125,8.878284953932434,6.02127297793885,2.8625704063200375,4.2081418006611315,1.8170306926394213,45.95955051110721,10.90379054538749,35.113609056581474,8.738531091629254,26.397618712427164,8.737515552316165,17.744869034008147,1.508347095276967,16.32639687095773,8.184808747759178,6.39314840319145,1.8097896805703497,2.791734636701162,3.6275878395130894,1.1774952319676153,6.083160901860839,2.575795084735966,1.0725649622559923,0.12543619164463993,1.7842167476906874,1.7840947067070037,0.1254307644302999,0.023575306767600463,1.175145040664327,8.184808747759178,6.39314840319145,1.8097896805703497,2.791734636701162,3.6275878395130894,2.575795084735966,1.0725649622559923,2.4632146127207237,2.621023604943602,0.9217631750738956,-1.6803253964493725,1.7060777591430378,2.3204538160063413,-0.612612716670074,1.1270316462161798,-1.740166236932847,1.1664595937238065,2.907422980364953,2.140840048475873,5.040102424267009,1.062519788285547,0.9436383352489888,-0.11410759736287525,0.9506759382055194,0.95244863516652,0.22675500568273618,0.2271768295152177,0.6818817443905163,0.6831540091169249,0.2706464086827166,0.27115089900405115,0.3418098716462775,0.3424478569469943,0.341062757212538,0.3416993383310982
5,73.55047949532782,68.61470535901019,4.882641673418168,3.7445502747129105,1.1297945099370246,0.5525780017750209,3.177964233845073,1.4220278753145963,1.7477553308780938,62.05067582496503,6.503401464859969,57.20608940086551,50.57222219865945,6.5398793428282085,4.772428363353654,1.5798800497711663,3.177922363348906,1.7477084534918923,1.4220353801116488,8.059630276273877,5.473011493473841,2.5840678494169187,3.8218670790280846,1.6493297971127079,42.44396488169732,9.86187961205428,32.55565637155878,7.919597650068444,24.62575575061032,7.9188682506209505,16.668152870242164,1.3613629519046584,15.2656896742518,7.622943288582597,5.9726883366088925,1.6419028875729713,2.5588871886518976,3.401414265520835,1.1096966623013553,5.390291731589157,2.387829116691347,1.0027060157518137,0.11325732253416827,1.6329124021688164,1.6328692413416401,0.11325391812197577,0.01691177554599106,1.1075647393473067,7.622943288582597,5.9726883366088925,1.6419028875729713,2.5588871886518976,3.401414265520835,2.387829116691347,1.0027060157518137,2.1277395876528824,2.2781092087667223,0.7644347284751756,-1.4964947325794833,1.5098325629137062,2.0202774798468783,-0.5094076192670326,0.9831859777601674,-1.4931850626279548,1.0149938307050217,2.509018201174724,1.9956067226594587,4.498295254788399,0.9003960009642167,0.7832582604434684,-0.11284508562861013,0.8918621548303481,0.8934161153309953,0.21472933588338933,0.21510132128276377,0.6345242601695662,0.6356288633480028,0.25645304289000115,0.2568981274211972,0.3173104189006444,0.31786212973910416,0.316692042237763,0.31724267759813785
6,69.5958325006157,65.01409647939872,4.605233930203234,3.533399200060536,1.0756887921030749,0.5411181088199418,2.9983778852143654,1.3485265946062732,1.652624252839902,58.68021275817226,6.360508970019474,54.174907091781265,47.96002338296294,6.2564658233493375,4.537243531373621,1.545421516624086,2.9982464461285767,1.6525268530047512,1.3484925588354009,7.711593949865684,5.227847310189941,2.4848687462534116,3.650275599312081,1.5783594741950764,40.27877636169991,9.446000047345043,30.844455466749768,7.5585987137276085,23.290407848870252,7.557848676781677,15.749676148325392,1.3097741030023882,14.458056639336789,7.23339532220679,5.668873800308563,1.568184980713867,2.4365239671962367,3.2376095049643134,1.0586312646798117,5.305487549623977,2.2812732654798253,0.960392673522391,0.10845361175378809,1.5445790337983336,1.5444863134773281,0.10844905931753301,0.018566265049389005,1.05664149376525,7.23339532220679,5.668873800308563,1.568184980713867,2.4365239671962367,3.2376095049643134,2.2812732654798253,0.960392673522391,2.0846001791492776,2.2323803467822922,0.7469340615969018,-1.4684935451898409,1.4867527859829595,1.9802294558886155,-0.4921146176718125,0.9653229314281216,-1.4578513624236298,0.9951121136782184,2.4536656701488058,1.9900298035309911,4.436980483138175,0.8800755313163612,0.7652785890974163,-0.11074595663278679,0.8506239908308629,0.8520907943202417,0.20651363290215533,0.2068681660009756,0.604256942876731,0.6052996685173385,0.24673115161076897,0.24715556990541004,0.30250710633600975,0.3030290437180538,0.30193647106527,0.3024574376013648
7,67.06880616263274,62.46769279361763,4.4660030351958255,3.4092157827718097,1.03547944900055,0.5434572262737113,2.8304798822712414,1.2712667606882437,1.5404552159319438,55.95364264457068,6.360078910103905,51.35430035689001,45.337606150997466,5.777682041894175,4.415817071774095,1.5485400279310815,2.830401864081428,1.5403976796373535,1.2712526360336651,7.13990384322332,4.8490515737340845,2.2843867514817946,3.3832874862059623,1.4612030871419284,38.02320653613116,8.71150142724265,29.244528028457257,6.992599580364163,22.22574738797444,6.992073084538476,15.13522430618495,1.2036271482638754,13.827176781324043,6.8884608134256835,5.415488197659733,1.4518463762898315,2.2814631932652985,3.1031141961486357,1.012789408062644,5.336150561308301,2.160095537684063,0.9171321732422257,0.09923002979931479,1.4379286724539815,1.4378766871215904,0.09922538156077294,0.015443256161636418,1.010779048092517,6.8884608134256835,5.415488197659733,1.4518463762898315,2.2814631932652985,3.1031141961486357,2.160095537684063,0.9171321732422257,2.0847655396703177,2.229809580409281,0.7450294148130643,-1.4677042104074691,1.477830600843043,1.9697029703886157,-0.4910334531534855,0.9635327211217088,-1.455196418084491,0.9906877071294151,2.446766117502198,2.021748890766132,4.462726915922273,0.8773338665804038,0.764497758763597,-0.10854653798192135,0.8101062495455547,0.8115472052193305,0.19812534077870114,0.19847305147100136,0.5710550501231735,0.5720698233476158,0.23685187389836418,0.2372681491145409,0.28514610125811446,0.2856512736491601,0.2846724071163074,0.2851767190406887
8,64.8657527245679,60.50605673361582,4.292888881573839,3.2818826139338695,1.0005353083146624,0.5559221564868593,2.7085729072791955,1.2218368224961853,1.4778624853705038,53.96202950598212,6.467819313547412,49.55575110224062,43.80597340062696,5.6316197686349305,4.3155392821733995,1.588945385478133,2.708433535417531,1.4777679249899098,1.2217926498854765,6.962429985968009,4.718277625054118,2.24096538166032,3.2912952803340807,1.4247476247708757,36.75729375924635,8.503696608494694,28.220405313685717,6.796947872817158,21.410524420660153,6.796380917342863,14.565510262246496,1.1814648136021044,13.332491554173332,6.6538547020321595,5.231365338880641,1.412100545510271,2.210621968800861,3.005687594252963,0.9797629171472964,5.482986065707749,2.099937233901121,0.8935527576855429,0.09678253037035246,1.3796050963410325,1.3795155551996354,0.09677769815708144,0.0169034353319294,0.9779164754770289,6.6538547020321595,5.231365338880641,1.412100545510271,2.210621968800861,3.005687594252963,2.099937233901121,0.8935527576855429,2.1396638145746545,2.2844920899816294,0.7692056081993414,-1.498504938349108,1.5113625479080168,2.021220208068869,-0.5088520656000626,0.9899808343403252,-1.4995154420004684,1.0162905817873154,2.5166889067084957,2.0795071337088284,4.589967593558835,0.9011077114892266,0.7894402604077698,-0.10737131770707842,0.783606046088889,0.7849391338402368,0.19307286623691475,0.19340147841705582,0.551631608394695,0.5525698556830172,0.23089521077410796,0.23128904024294797,0.2757424265855191,0.27621161505579,0.2752982888302629,0.27576676510959647
9,63.37733815933611,58.95940736413222,4.222188357252352,3.2131631578024598,0.9781206322954858,0.5543319784185963,2.607816156368615,1.1744209040108387,1.4071336516982835,52.29879694772272,6.437577754606728,47.78476769666537,42.135190196338534,5.303289963496116,4.248115319636132,1.5870494507312634,2.6077306196334336,1.4070764505957165,1.1743972407216257,6.569487402662176,4.460760007840597,2.099379986990262,3.109950992343791,1.3442291996887656,35.31289735283583,7.996521113003171,27.2190694005383,6.413732996062468,20.767415403062454,6.413328958986913,14.211478262599055,1.1062253179319235,12.954020602180403,6.4406381806519155,5.0770329487922945,1.3330853447233173,2.10855564503954,2.924031296974283,0.9528148935350864,5.467580268935648,2.0212008568000934,0.8662177573833858,0.09052436491829043,1.312158266461056,1.3121060197087029,0.09052007814328482,0.014088251068353395,0.9510305781846653,6.4406381806519155,5.0770329487922945,1.3330853447233173,2.10855564503954,2.924031296974283,2.0212008568000934,0.8662177573833858,2.1317565628434316,2.2752473251076144,0.7665000282868496,-1.4928046538999613,1.4980470735410931,2.0167431421459665,-0.5181901799073567,0.9856141196961758,-1.504822219347119,1.0131631414362314,2.519084512386279,2.0594967101628137,4.5733080190830195,0.8971938304786207,0.7860270370437665,-0.10670404539029499,0.7591819030182291,0.7604302039710413,0.18813788227003464,0.18844626196832123,0.5309131278667054,0.5317844835289361,0.2251059266775118,0.22547556161064763,0.2647722715816734,0.2652062982812417,0.2643951534465333,0.2648285760684679
10,61.86597263531819,57.63241696525227,4.105368583277484,3.129722036997889,0.9554626602201153,0.568243855789129,2.5280866346647763,1.1437068973137574,1.3676050764225698,50.90116689590313,6.58513123828806,46.52954773911077,41.08464541150992,5.218145808041121,4.197476862713086,1.634673976247711,2.5279515812475637,1.3675175226294638,1.1436602091195733,6.465719879160018,4.381705550635117,2.0779074671243998,3.054532570043504,1.3228884212302594,34.453399774005995,7.878714366302955,26.510989776359015,6.295538244111072,20.190632095293285,6.295097546252144,13.80219492800225,1.0955198042715941,12.607720940783379,6.28007931037823,4.950896202299587,1.3092696325013473,2.0638271452425703,2.858241133608149,0.9319420740039402,5.642114101293524,1.983462639491125,0.8515429978178758,0.08924336597081955,1.2756109203949275,1.2755281593878607,0.08923877154279988,0.016043071517025876,0.9302728042880167,6.28007931037823,4.950896202299587,1.3092696325013473,2.0638271452425703,2.858241133608149,1.983462639491125,0.8515429978178758,2.195372589291856,2.3380261410976586,0.794403605473762,-1.5285985817093917,1.5373893028558696,2.080954402258354,-0.5428408557864521,1.0169549143530898,-1.56095263196458,1.0447052884237311,2.6067913768327315,2.1256893904395047,4.726784712786353,0.9234577050327393,0.8142217957826424,-0.10479929669810766,0.7425734684762959,0.743750850431287,0.18528766410443162,0.18558274220677945,0.5187431645503487,0.5195652093258593,0.2217706070164843,0.22212455548103,0.2589911796347674,0.25940207809679905,0.2586337948073282,0.2590441702227162
