cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
27,1725.178128786385,453.04155381396413,236.37297196686268,697.5760375410318,82.32872099801898,247.09294645488262,8.765898011624813
28,1786.2016913108528,469.47617318481207,245.06415097042918,721.2561957240105,85.16935336217284,256.1575607918203,9.078257277607918
29,1855.6224233321846,487.7866536900401,254.30804916471243,749.1260842904449,88.29813568666577,266.5815648883581,9.521935611963272
30,1921.1918250620365,505.1798709742725,263.3311871960759,774.281368419528,91.35275850072503,277.18941129744053,9.857228673994541
31,1982.7518752291799,521.6635042093694,272.08596713095903,798.2377026118338,94.21482938528061,286.26994130015373,10.279930591583252
32,2054.393094252795,539.978759072721,281.5733978897333,825.8286012932658,97.82904725521803,298.5449186563492,10.638370085507631
33,2115.008273538202,556.3160576894879,290.248303655535,849.6093374341726,100.65970837697387,307.2319308780134,10.94293550401926
34,2174.8763508833945,572.5326209962368,298.886183694005,873.2421036735177,103.46074712276459,315.50160532444715,11.25309007242322
35,2234.927024461329,588.7877766862512,307.54633404687047,896.9444110020995,106.2757503055036,323.81638495996594,11.556367460638285
36,2294.659258555621,605.0014742277563,316.1890407167375,920.5503282435238,109.07225234806538,331.9820308238268,11.864132195711136
37,2354.652886789292,621.2507651746273,324.8501456491649,944.2049740999937,111.8815130032599,340.2967168688774,12.168771993368864
38,2414.5162581056356,637.472632817924,333.4957488887012,967.8572694435716,114.68423260375857,348.52890945225954,12.477464899420738
39,2474.18199981004,653.6576309204102,342.1178526058793,991.4222449921072,117.48405146971345,356.72542475163937,12.774795070290565
40,2534.428251132369,669.9421445690095,350.77040523663163,1015.1381536014378,120.30596493557096,365.186090182513,13.085492607206106
41,2594.448542587459,686.1667230054736,359.41178968921304,1038.774183548987,123.12170202285051,373.583238273859,13.390906047075987
42,2654.2161165215075,702.3558086790144,368.03758005052805,1062.3443369790912,125.92071457579732,381.8569792956114,13.70069694146514
43,2714.138818550855,718.5824335329235,376.68342704325914,1085.9561171978712,128.73604987189174,390.1723268032074,14.008464101701975
44,2773.876187119633,734.7950057014823,385.32204692438245,1109.5360949635506,131.53815354779363,398.3660714253783,14.318814557045698
45,2833.565722439438,750.9805565662682,393.9484623223543,1133.0850602537394,134.3358088210225,406.5939994379878,14.62183503806591
46,2893.5447694808245,767.1940508522093,402.58889750391245,1156.7027812041342,137.14993388950825,414.90260430052876,15.006501730531454
47,2944.3479667827487,783.3929569758475,402.59940564632416,1180.112708028406,139.9498016871512,422.98614347726107,15.306950967758894
48,2995.022633869201,799.5778374969959,402.60994508489966,1203.3942712657154,142.75373847037554,431.0695385970175,15.61730295419693
49,3045.6128228753805,815.752543464303,402.62052281945944,1226.664553426206,145.5416755527258,439.11667263135314,15.916854981333017
50,3096.3168235458434,831.9442910961807,402.6311151124537,1249.9855275005102,148.33459681645036,447.198581404984,16.222711615264416
51,3147.3431035913527,848.1711962111294,402.6419347785413,1273.3741706870496,151.14129681140184,455.486110702157,16.528394401073456
52,3198.1426065675914,864.3742850124836,402.65253395959735,1296.7395305745304,153.93762722611427,463.59658608958125,16.842043705284595
53,3248.8016069568694,880.5637380741537,402.6632817015052,1320.0726179406047,156.72834105044603,471.63171154260635,17.141916647553444
54,3299.5628338716924,896.7443678565323,402.67410189658403,1343.4157833643258,159.52658438310027,479.7463115006685,17.45568487048149
55,3350.96666194126,913.023578338325,402.68465082347393,1366.8050618879497,162.33700023964047,488.3491344898939,17.767236161977053
56,3402.5689568817616,929.3173794932663,402.69521306082606,1390.2266698889434,165.15245851129293,497.0257916636765,18.151444263756275
