cycle no.,Q_max_rel_err,Q_CoW_proximal_max_rel_err,Parm_rel_err,Converge_err,if_conv
2,0.3447454355948552,1.2121194189748405,0.07579557546448738,0.001,0
4,0.29413455598274035,0.12861262103528937,0.05201503809726315,0.001,0
6,0.16136612363985048,0.08790765625152822,0.1420207457659113,0.001,0
8,0.38474154782770387,0.012310181214984665,0.1692002127375776,0.001,0
10,0.06879902595198417,0.07109400852432553,0.155249242599345,0.001,0
12,0.08048743405423939,0.10883718233556383,0.12033730677144219,0.001,0
14,0.09325362440137738,0.11251394745002571,0.07861262340340737,0.001,0
16,0.076379749427384,0.09226531340682215,0.03954096234233249,0.001,0
18,0.05595450215052625,0.06125343912400327,0.009006207043892725,0.001,0
20,0.037276911150675114,0.02999217959480809,0.010329753056219911,0.001,0
22,0.020546373246434376,0.005294776173731202,0.018765090407675915,0.001,0
24,0.006379060882582668,0.01066720472436395,0.018840155602763458,0.001,0
26,0.004589616787768346,0.015543927169940802,0.014120713734073373,0.001,0
28,0.00927792591644625,0.014609731187293034,0.007928860246062512,0.001,0
30,0.009994821185859103,0.010258736507281721,0.002535532531053249,0.001,0
32,0.007701749753150913,0.0052100682545333545,0.0010153317616098413,0.001,0
34,0.004369401137007366,0.0010985164696076391,0.0026382228288349386,0.001,0
36,0.001394305916602995,0.001641553176407106,0.002786075080775903,0.001,0
38,0.0007491140396096479,0.002483517035465253,0.002083035129454804,0.001,0
40,0.0015200440816569873,0.002424497711463909,0.001087051697738969,0.001,0
42,0.0016462766919507997,0.0017714483372890811,0.00017990468321135144,0.001,0
44,0.001309098259655987,0.0009515195767475142,0.00044901530364177924,0.001,0
46,0.0007961387426272553,0.0002454688684565735,0.0007644440562611185,0.001,1
48,0.30596798734700364,0.0,0.0,0.001,0
50,0.008825862834168053,0.0,0.0,0.001,0
52,0.0048240632147123555,0.0,0.0,0.001,0
54,0.0023436140349602503,0.0,0.0,0.001,0
56,0.0009750112994431259,0.0,0.0,0.001,1
