artery no.,R1[mmHg.s/ml],R2[mmHg.s/ml],R3[mmHg.s/ml],C[ml/mmHg],L[mmHg.s2/ml]
8,16.713924009790066,70.66531467115104,0.0,0.038046681523968,0.025027304308959
14,1.7446793375918972,19.86413318641066,0.0,0.14449872179392,0.012842230573005
19,16.713924009790066,70.66531467115104,0.0,0.038046681523968,0.025027304308959
22,2.385042578618793,52.075922694790236,0.0,0.055344362840840995,0.02075084420805
23,3.2576572531221677,33.37632734173974,0.0,0.086569054039576,0.016591709297404
24,6.258446954792966,78.45511549475953,0.0,0.037136869555529,0.025332019852992
26,1.0487736752375199,13.293627046820458,0.0,0.21593629206841,0.010505328710675
28,1.746641249008465,16.13824252026533,0.0,0.17774178031754,0.011579177272882
30,1.746641249008465,16.13824252026533,0.0,0.17774178031754,0.011579177272882
32,4.125639564024692,99.13495815381415,0.0,0.02920164101341,0.028567276411064
36,8.062168334291558,76.97087390385909,0.0,0.036167170080079,0.025669369503467005
37,6.290019062341853,45.740224895936635,0.0,0.060174810171002006,0.019900551007918
41,5.0490319641296315,46.34088071756151,0.0,0.060174810171002006,0.019900551007918
42,11.09887817287152,103.03866003239607,0.0,0.027101470124251997,0.029653505489417
43,39.41492527027712,1204.688248707278,0.0,0.0023831146234603,0.1
44,11.89865095108272,72.18439675411693,0.0,0.038046681523968,0.025027304308959
45,11.89865095108272,72.18439675411693,0.0,0.038046681523968,0.025027304308959
46,39.41492527027712,1204.688248707278,0.0,0.0023831146234603,0.1
51,8.062168334291558,76.97087390385909,0.0,0.036167170080079,0.025669369503467005
52,6.290019062341853,45.740224895936635,0.0,0.060174810171002006,0.019900551007918
54,5.0490319641296315,46.34088071756151,0.0,0.060174810171002006,0.019900551007918
55,11.09887817287152,103.03866003239607,0.0,0.027101470124251997,0.029653505489417
58,27.33098593168278,109.32394372673112,0.0,0.039291244567818,0.024627740739992996
61,10.193173431649015,40.77269372659606,0.0,0.080034690245299,0.017255729794713
63,21.885293605136606,87.54117442054643,0.0,0.039676552235793,0.024507866312575
65,20.816258119421377,83.26503247768551,0.0,0.039676552235793,0.024507866312575
67,10.787386299906363,43.14954519962545,0.0,0.080034690245299,0.017255729794713
70,27.596863341062825,110.3874533642513,0.0,0.039291244567818,0.024627740739992996
74,34.2912000079342,425.9923252787808,0.0,0.006815010636720901,0.05913426413126101
75,34.2912000079342,425.9923252787808,0.0,0.006815010636720901,0.05913426413126101
78,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
79,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
80,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
81,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
82,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
83,28.5760000046742,354.9936043749132,0.0,0.0081780127646197,0.05398195064177
84,4310.431272404141,0.0,0.0,inf,0.002
85,2.2605225596356293,0.0,0.0,inf,0.002
86,4.424597884832038,0.0,0.0,inf,0.002
87,0.8412572514339748,0.0,0.0,inf,0.002
88,2.2945898474456556,0.0,0.0,inf,0.002
89,19.93050504303446,0.0,0.0,inf,0.002
90,7.897879283593872,0.0,0.0,inf,0.002
