artery no.,R1[mmHg.s/ml],R2[mmHg.s/ml],R3[mmHg.s/ml],C[ml/mmHg],L[mmHg.s2/ml]
8,15.806850527955097,59.47074535649485,0.0,0.038046681523968,0.025027304308959
14,1.7237483096934045,16.892338088865564,0.0,0.14449872179392,0.012842230573005
19,15.806850527955097,59.47074535649485,0.0,0.038046681523968,0.025027304308959
22,2.366046348076547,44.55231317549935,0.0,0.055344362840840995,0.02075084420805
23,3.273880448549179,28.286457334191024,0.0,0.086569054039576,0.016591709297404
24,6.490781598151316,66.49032256658965,0.0,0.037136869555529,0.025332019852992
26,1.0349857245731315,11.321055159580466,0.0,0.21593629206841,0.010505328710675
28,1.7281575120260524,13.679747994449924,0.0,0.17774178031754,0.011579177272882
30,1.7281575120260524,13.679747994449924,0.0,0.17774178031754,0.011579177272882
32,4.200989380598346,84.75846669996486,0.0,0.02920164101341,0.028567276411064
36,7.45840208942841,65.79793530900044,0.0,0.036167170080079,0.025669369503467005
37,5.818966979090918,39.00531551165288,0.0,0.060174810171002006,0.019900551007918
41,4.739265505817676,39.53336879253198,0.0,0.060174810171002006,0.019900551007918
42,10.466701727336915,87.86328610461425,0.0,0.027101470124251997,0.029653505489417
43,39.41492527027712,1032.3853946113288,0.0,0.0023831146234603,0.1
44,11.252904880859134,61.18500807689625,0.0,0.038046681523968,0.025027304308959
45,11.252904880859134,61.18500807689625,0.0,0.038046681523968,0.025027304308959
46,39.41492527027712,1032.3853946113288,0.0,0.0023831146234603,0.1
51,7.45840208942841,65.79793530900044,0.0,0.036167170080079,0.025669369503467005
52,5.818966979090918,39.00531551165288,0.0,0.060174810171002006,0.019900551007918
54,4.739265505817676,39.53336879253198,0.0,0.060174810171002006,0.019900551007918
55,10.466701727336915,87.86328610461425,0.0,0.027101470124251997,0.029653505489417
58,9.308519048732022,37.234076194928086,0.0,0.039291244567818,0.024627740739992996
61,3.500990607103876,14.003962428415504,0.0,0.080034690245299,0.017255729794713
63,9.45040357314146,37.80161429256584,0.0,0.039676552235793,0.024507866312575
65,9.021533323680782,36.086133294723126,0.0,0.039676552235793,0.024507866312575
67,3.4373038250870964,13.749215300348386,0.0,0.080034690245299,0.017255729794713
70,10.164669763925708,40.658679055702834,0.0,0.039291244567818,0.024627740739992996
74,34.2912000079342,362.2450680101672,0.0,0.006815010636720901,0.05913426413126101
75,34.2912000079342,362.2450680101672,0.0,0.006815010636720901,0.05913426413126101
78,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
79,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
80,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
81,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
82,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
83,28.5760000046742,301.870889988004,0.0,0.0081780127646197,0.05398195064177
84,0.5,0.0,0.0,inf,0.002
85,0.5,0.0,0.0,inf,0.002
86,0.5,0.0,0.0,inf,0.002
87,0.5,0.0,0.0,inf,0.002
88,0.5,0.0,0.0,inf,0.002
89,0.5,0.0,0.0,inf,0.002
90,0.5,0.0,0.0,inf,0.002
