Artery No.,PR1 [mmHg*s/ml],PR2 [mmHg*s/ml],C [ml/mmHg],L [mmHg*s^2/ml]
8,15.806850527955097,16.741989323337904,0.038046681523968,0.025027304308959
14,1.7237483096934045,6.325552517801495,0.14449872179392,0.012842230573005
19,15.806850527955097,16.741989323337904,0.038046681523968,0.025027304308959
22,2.366046348076547,17.920708990954154,0.055344362840840995,0.02075084420805
23,3.273880448549179,10.372309604065421,0.086569054039576,0.016591709297404
24,6.490781598151316,25.065091616436586,0.037136869555529,0.025332019852992
26,1.0349857245731315,4.307570599245668,0.21593629206841,0.010505328710675
28,1.7281575120260524,4.933976724353548,0.17774178031754,0.011579177272882
30,1.7281575120260524,4.933976724353548,0.17774178031754,0.011579177272882
32,4.200989380598346,34.263670060292654,0.02920164101341,0.028567276411064
36,7.45840208942841,24.21647761493649,0.036167170080079,0.025669369503467005
37,5.818966979090918,13.562342627021481,0.060174810171002006,0.019900551007918
41,4.739265505817676,14.403520161564622,0.060174810171002006,0.019900551007918
42,10.466701727336915,32.049627187238585,0.027101470124251997,0.029653505489417
43,39.41492527027712,424.01455271066584,0.0023831146234603,0.1
44,11.252904880859134,20.068101061506866,0.038046681523968,0.025027304308959
45,11.252904880859134,20.068101061506866,0.038046681523968,0.025027304308959
46,39.41492527027712,424.01455271066584,0.0023831146234603,0.1
51,7.45840208942841,24.21647761493649,0.036167170080079,0.025669369503467005
52,5.818966979090918,13.562342627021481,0.060174810171002006,0.019900551007918
54,4.739265505817676,14.403520161564622,0.060174810171002006,0.019900551007918
55,10.466701727336915,32.049627187238585,0.027101470124251997,0.029653505489417
58,5.9477600002372,23.7910400009488,0.039291244567818,0.024627740739992996
61,2.91992000073642,11.67968000294568,0.080034690245299,0.017255729794713
63,5.89000000330628,23.56000001322512,0.039676552235793,0.024507866312575
65,5.89000000330628,23.56000001322512,0.039676552235793,0.024507866312575
67,2.91992000073642,11.67968000294568,0.080034690245299,0.017255729794713
70,5.9477600002372,23.7910400009488,0.039291244567818,0.024627740739992996
74,34.2912000079342,137.1648000317368,0.006815010636720901,0.05913426413126101
75,34.2912000079342,137.1648000317368,0.006815010636720901,0.05913426413126101
78,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
79,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
80,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
81,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
82,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
83,28.5760000046742,114.3040000186968,0.0081780127646197,0.05398195064177
,,,,
R_total = ,0.6389133346598418,C_total = ,1.8290630503412078,
