cycle no.,Q_max_rel_err,Q_CoW_proximal_max_rel_err,Parm_rel_err,Converge_err,if_conv
2,0.49676402742166764,0.4685375701109655,0.017940817258831315,0.001,0
4,0.14593108138643562,0.11886007261431161,0.11937190346686932,0.001,0
6,0.07097665463520961,0.10031283350683727,0.19429629137653096,0.001,0
8,0.05211984598626793,0.03007091034249117,0.21558990155441266,0.001,0
10,0.036726704891137864,0.04829994678746389,0.1995659711640424,0.001,0
12,0.030354139524626646,0.08392896757750459,0.1629635072073799,0.001,0
14,0.026606920764265157,0.10288901998342916,0.11740235690796666,0.001,0
16,0.02086699697102337,0.10074560159785484,0.07095442191524767,0.001,0
18,0.014743193544163905,0.08396889002395876,0.02950328917628525,0.001,0
20,0.012643541614231474,0.06004409067245266,0.0028416606511299848,0.001,0
22,0.009611679081481037,0.0349835734499596,0.023862264726421216,0.001,0
24,0.005990118577145992,0.013233205399066653,0.03341748788330477,0.001,0
26,0.005852811477322717,0.005679017600138939,0.033322219404690684,0.001,0
28,0.006352552456254103,0.013724253780700902,0.02673285544896103,0.001,0
30,0.005613772838850777,0.016637843521418654,0.017181893140641478,0.001,0
32,0.004551232582015592,0.015610804789141588,0.00765630422952114,0.001,0
34,0.003432818397245737,0.011866045548150144,7.283036224137618e-05,0.001,0
36,0.0021151005709938555,0.007154368449997649,0.004773125736541885,0.001,0
38,0.0013264339901300295,0.0028757409434529207,0.006946654905479335,0.001,0
40,0.0012356956984394124,0.001113656434450824,0.007016356721030234,0.001,0
42,0.0012762546062594102,0.0027836063353334894,0.005741154761017526,0.001,0
44,0.0011354729256289828,0.0034356225421631444,0.003851790717190795,0.001,0
46,0.0008359641476638342,0.0033033708297109726,0.0019265529631542222,0.001,0
48,0.0006939209911975134,0.0025934817870208694,0.00034171880159277634,0.001,0
50,0.00046998395043625557,0.0016473952916802816,0.000724586577257611,0.001,0
52,0.0002349278946542244,0.0007404576831572834,0.0012552642023591432,0.001,0
54,0.00022616087103956964,0.00011629773798202178,0.0013407777060677971,0.001,0
56,0.0002565594773044029,0.00050417495148105,0.0011242148940128515,0.001,0
58,0.00023825497224873234,0.0006672865997876229,0.000755385893134104,0.001,1
60,0.17142559360267715,0.0,0.0,0.001,0
62,0.0010707507024221969,0.0,0.0,0.001,0
64,0.0004499856497374346,0.0,0.0,0.001,1
