cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
20,0.0028416606511299848,0.997442505413983,2.5717575542983044,83.70772477120848,20.700850209929605,83.70772477120848,52.17261629535365,35.09469235520197,81.15405532209594,13.739759585045178,17.133394050158604,17.133394050158604,98.92177849062301,81.46011116119045,49.84402939171385,49.23060365040373,109.34169006709094,1191.8282608820098,80.55003364050182,80.55003364050182,1191.8282608820098,81.46011116119045,49.84402939171385,49.23060365040373,109.34169006709094,440.9432633317942,440.9432633317942,367.4527194182462,367.4527194182462,367.4527194182462,367.4527194182462,367.4527194182462,367.4527194182462
22,0.023862264726421216,0.9785239617462209,2.5165263906827486,81.91001447188519,20.256277958935407,81.91001447188519,51.05215519199489,34.34099739967704,79.41118772554931,13.44468398259902,16.765436624120326,16.765436624120326,96.79733059162653,79.71067069773564,48.77357710977492,48.17332532315102,106.99346374847724,1166.2325115593728,78.82013803669521,78.82013803669521,1166.2325115593728,79.71067069773564,48.77357710977492,48.17332532315102,106.99346374847724,431.47354894073436,431.47354894073436,359.56129075956477,359.56129075956477,359.56129075956477,359.56129075956477,359.56129075956477,359.56129075956477
24,0.03341748788330477,0.9699242609050257,2.440839999530957,79.44651024736321,19.647055428007185,79.44651024736321,49.51672389220432,33.308166521623164,77.02283756229366,13.040325174923993,16.261203726399955,16.261203726399955,93.8860793316628,77.31331336274513,47.30667572989272,46.72447695939461,103.77555624791044,1131.1572068176365,76.4495641296737,76.4495641296737,1131.1572068176365,77.31331336274513,47.30667572989272,46.72447695939461,103.77555624791044,418.4966630564102,418.4966630564102,348.7472191900279,348.7472191900279,348.7472191900279,348.7472191900279,348.7472191900279,348.7472191900279
26,0.033322219404690684,0.9700100025357784,2.367639214134453,77.06390960650353,19.05784028554183,77.06390960650353,48.03171746824055,32.30925469210182,74.71292285911332,12.649245855995398,15.773530267880032,15.773530267880032,91.07043605058053,74.99468729104584,45.88794864471248,45.323210013865285,100.66332757918742,1097.2338050535395,74.15684189528395,74.15684189528395,1097.2338050535395,74.99468729104584,45.88794864471248,45.323210013865285,100.66332757918742,405.94594919256326,405.94594919256326,338.28829097086464,338.28829097086464,338.28829097086464,338.28829097086464,338.28829097086464,338.28829097086464
28,0.02673285544896103,0.9759404300959351,2.31067483295438,75.20978508624532,18.59931684497133,75.20978508624532,46.87609500420112,31.53190792028895,72.91536206884747,12.344910441089374,15.394025913766088,15.394025913766088,88.87932052822791,73.19034736973343,44.78390433654088,44.23275307426008,98.24141121252018,1070.8348316197507,72.37266017383966,72.37266017383966,1070.8348316197507,73.19034736973343,44.78390433654088,44.23275307426008,98.24141121252018,396.1790642506928,396.1790642506928,330.1492201865245,330.1492201865245,330.1492201865245,330.1492201865245,330.1492201865245,330.1492201865245
30,0.017181893140641478,0.9845362961734226,2.2749432416980473,74.04676324481109,18.311702517904024,74.04676324481109,46.15121695450965,31.044307835122694,71.78782050540717,12.154012402262746,15.155977256336952,15.155977256336952,87.50491703927196,72.05855351504356,44.091379303682835,43.54875088128559,96.72223512602477,1054.2757589364,71.25351079176988,71.25351079176988,1054.2757589364,72.05855351504356,44.091379303682835,43.54875088128559,96.72223512602477,390.05266853882955,390.05266853882955,325.0438904269846,325.0438904269846,325.0438904269846,325.0438904269846,325.0438904269846,325.0438904269846
32,0.00765630422952114,0.993109326193431,2.259267349891047,73.53653115285884,18.18552254901022,73.53653115285884,45.83320397269993,30.830391636280147,71.29315405101988,12.07026306735776,15.051542360843754,15.051542360843754,86.90194919948345,71.5620215277982,43.787559991219446,43.248670644279116,96.05575375392907,1047.0110885793963,70.76252609133095,70.76252609133095,1047.0110885793963,71.5620215277982,43.787559991219446,43.248670644279116,96.05575375392907,387.36494283254666,387.36494283254666,322.8041190052341,322.8041190052341,322.8041190052341,322.8041190052341,322.8041190052341,322.8041190052341
34,7.283036224137618e-05,0.9999344526739827,2.2591192609575037,73.53171102987719,18.184330536634906,73.53171102987719,45.830199728736716,30.828370786548327,71.2884809754085,12.06947189388937,15.050555772489567,15.050555772489567,86.89625300908774,71.55733082864266,43.784689833749205,43.24583580956458,96.04945755612192,1046.9424598022297,70.75788779696344,70.75788779696344,1046.9424598022297,71.55733082864266,43.784689833749205,43.24583580956458,96.04945755612192,387.33955209635116,387.33955209635116,322.78296005840593,322.78296005840593,322.78296005840593,322.78296005840593,322.78296005840593,322.78296005840593
36,0.004773125736541885,1.0042958131628876,2.268824015215258,73.84758952200899,18.262447023112482,73.84758952200899,46.02707770398919,30.960803707563564,71.59472297034493,12.121320090120243,15.115210148085803,15.115210148085803,87.2695430765698,71.86472775231745,43.97278068066998,43.43161184027539,96.46206808017973,1051.4399290018341,71.06185046273976,71.06185046273976,1051.4399290018341,71.86472775231745,43.97278068066998,43.43161184027539,96.46206808017973,389.0034904427537,389.0034904427537,324.1695753469807,324.1695753469807,324.1695753469807,324.1695753469807,324.1695753469807,324.1695753469807
38,0.006946654905479335,1.0062519894149313,2.2830086789427257,74.30928387001879,18.37662364859173,74.30928387001879,46.31483850659476,31.15437032462102,72.04233242052048,12.197102455018669,15.209710281936099,15.209710281936099,87.81515133613041,72.31402526953187,44.24769804003063,43.7031458177742,97.06514790875941,1058.0135203083898,71.50612839963824,71.50612839963824,1058.0135203083898,72.31402526953187,44.24769804003063,43.7031458177742,97.06514790875941,391.4355361473731,391.4355361473731,326.19628010069283,326.19628010069283,326.19628010069283,326.19628010069283,326.19628010069283,326.19628010069283
