cycle no.,t_total [s],t_1d_lw [s],t_stn [s],t_0d [s],t_1d_bif [s],t_reg [s],t_out [s]
28,1846.8255845606327,447.1673687957227,456.5860485099256,624.8706966899335,81.28139058873057,228.37734125182033,8.54273872449994
29,1910.518847104162,463.0464238859713,472.8006650134921,645.4538129344583,84.07019589096308,236.3008673414588,8.846882037818432
30,1974.3377793766558,478.93607979640365,489.0318840071559,666.067468687892,86.86091446876526,244.28658710047603,9.15484531596303
31,2038.4125958234072,494.83449652791023,505.26739824563265,686.7623945474625,89.66506643593311,252.4258268252015,9.457413241267204
32,2102.148115232587,510.7168330140412,521.4886782951653,707.4149349741638,92.44912268966436,260.3102675676346,9.768278691917658
33,2167.409819815308,526.7725428082049,537.7810765616596,728.3265885934234,95.26982117444277,269.1832889392972,10.076501738280058
34,2231.7049580067396,542.6758660972118,554.0305421091616,749.2210165336728,98.07534930855036,277.31280037388206,10.38938358426094
35,2296.021927908063,558.5997331440449,570.2908877320588,770.182970713824,100.87739779800177,285.3779740855098,10.692964434623718
36,2360.0469824522734,574.4887145683169,586.5423789918423,791.0682389698923,103.66244319826365,293.28063541278243,11.004571311175823
37,2424.2141242437065,590.3924574516714,602.7670748159289,811.9862183332443,106.45665927231312,301.3042231351137,11.307491235435009
38,2488.1029668822885,606.2605695612729,618.9921932630241,832.8799370601773,109.2367543913424,309.1168988980353,11.616613708436489
39,2552.340762063861,622.1506822109222,635.2394384779036,853.8135238103569,112.03422506153584,317.18216132745147,11.92073117569089
40,2616.2259470038116,638.0145424120128,651.4645494744182,874.6950904726982,114.81537415459752,325.00543724000454,12.230953250080347
41,2680.1908922232687,653.8844300173223,667.6711070463061,895.5864402912557,117.6028618812561,332.9107616059482,12.535291381180286
42,2744.3709475398064,669.7760135754943,683.9054845385253,916.5368383303285,120.39864116162062,340.9052619114518,12.848708022385836
43,2808.2816842645407,685.62794803828,700.112135797739,937.3899895213544,123.18485751375556,348.8131953328848,13.153558060526848
44,2872.3174220211804,701.5014172792435,716.3316649980843,958.2748438082635,125.97282887250185,356.7721969932318,13.464470069855452
45,2936.5147387608886,717.3999001942575,732.5711016654968,979.1790814697742,128.76514518633485,364.82940639927983,13.770103845745325
46,3000.5442757345736,733.2646839544177,748.76673463732,1000.0523793362081,131.55735324695706,372.8212520182133,14.081872541457415
47,3064.8234891071916,749.1732203401625,765.0076481997967,1020.9738681800663,134.35747326910496,380.92315935716033,14.388119760900736
48,3129.0102308653295,765.0539217852056,781.2268783338368,1041.867631725967,137.1589648798108,388.999782897532,14.70305124297738
49,3193.2351730577648,780.9324769936502,797.4403667263687,1062.7799976058304,139.96127672865987,397.11099673062563,15.010058272629976
50,3257.6745597198606,796.8740366734564,813.6878385357559,1083.7146589308977,142.76684004068375,405.30584328621626,15.325342252850533
