cycle no,1 Ascending aorta [mm^2],2 Aortic arch I [mm^2],3 Brachiocephalic [mm^2],4 R. subclavian I [mm^2],5 R. com. carotid [mm^2],6 R. vertebral [mm^2],7 R. subclavian II [mm^2],8 R. radius [mm^2],9 R. ulnar I [mm^2],10 Aortic arch II [mm^2],11 L. com. carotid [mm^2],12 Thoracic aorta I [mm^2],13 Thoracic aorta II [mm^2],14 Intercoastals [mm^2],15 L. subclavian I [mm^2],16 L. vertebral [mm^2],17 L. subclavian II [mm^2],18 L. ulnar I [mm^2],19 L. radius [mm^2],20 Celiac I [mm^2],21 Celiac II [mm^2],22 Hepatic [mm^2],23 Splenic [mm^2],24 Gastric [mm^2],25 Abdominal aorta I [mm^2],26 Sup. mesenteric [mm^2],27 Abdominal aorta II [mm^2],28 R. renal [mm^2],29 Abdominal aorta III [mm^2],30 L. renal [mm^2],31 Abdominal aorta IV [mm^2],32 Inf. mesenteric [mm^2],33 Abdominal aorta V [mm^2],34 R. com. iliac [mm^2],35 R. ext. iliac [mm^2],36 R. int. iliac [mm^2],37 R. deep femoral [mm^2],38 R. femoral [mm^2],39 R. ext. carotid I [mm^2],40 L. int. carotid I [mm^2],41 R. post. tibial [mm^2],42 R. ant. tibial [mm^2],43 R. interosseous [mm^2],44 R. ulnar II [mm^2],45 L. ulnar II [mm^2],46 L. interosseous [mm^2],47 R. int. carotid I [mm^2],48 L. ext. carotid I [mm^2],49 L. com. iliac [mm^2],50 L. ext. iliac [mm^2],51 L. int. iliac [mm^2],52 L. deep femoral [mm^2],53 L. femoral [mm^2],54 L. post. tibial [mm^2],55 L. ant. tibial [mm^2],56 Basilar [mm^2],57 R. PCA I [mm^2],58 R. PCA II [mm^2],59 R. PCoA [mm^2],60 R. int. carotid II [mm^2],61 R. MCA [mm^2],62 R. ACA I [mm^2],63 R. ACA II [mm^2],64 ACoA [mm^2],65 L. ACA II [mm^2],66 L. ACA I [mm^2],67 L. MCA [mm^2],68 L. int. carotid II [mm^2],69 L. PCoA [mm^2],70 L. PCA II [mm^2],71 L. PCA I [mm^2],72 L. ext. carotid II [mm^2],73 R. ext. carotid II [mm^2],74 L. sup. thy. asc. ph. lyng. fac. occ. [mm^2],75 R. sup. thy. asc. ph. lyng. fac. occ. [mm^2],76 L. superf. temp. [mm^2],77 R. superf. temp. [mm^2],78 L. maxillary [mm^2],79 R. maxillary [mm^2],80 L. superf. temp. fron. bran. [mm^2],81 R. superf. temp. fron. bran. [mm^2],82 L. superf. temp. pari. bran. [mm^2],83 R. superf. temp. pari. bran. [mm^2]
1,10.839853418767479,9.538965336262287,1.9979016287231375,0.8637348792088347,0.47987338641938443,0.15627804946525067,0.30082765321219207,0.07745486680915038,0.1470910320999921,8.369776098040113,0.3565416489623101,7.009746939295609,5.197393680404805,0.44197106397238595,0.8637249292136782,0.18643477241551004,0.3008246656688443,0.14709067834042616,0.0774547906252966,0.5206056381875753,0.3698529513874153,0.33836194891300614,0.19763740466042187,0.12930963883240323,3.874214517244717,0.6944729904904225,3.413180667448645,0.3742660627869736,3.2260604821053667,0.37425925707332025,2.4849215231732478,0.17367152608619985,1.7252432941013085,0.7364064092474486,0.5704185847070049,0.12715863700967747,0.1276842227519173,0.2755709425676338,0.3341092276225822,0.15861724247579384,0.19743884719688773,0.09653077465024082,0.03155383557557734,0.11533839282842892,0.11533821846793657,0.0315538054297336,0.2630303592287601,0.36032204326819517,0.7364064092474486,0.5704185847070049,0.12715863700967747,0.1276842227519173,0.2755709425676338,0.19743884719688773,0.09653077465024082,0.1236335367460972,0.04658106289078781,0.041938811450571385,0.04790016822426613,0.12494359987459154,0.058353124997466296,0.05822340585222752,0.06571555939692003,0.047747531375549726,0.05843443298447142,0.029843782522745242,0.06572486698022177,0.10573736696614512,0.05629259809276351,0.060756826197874286,0.07921638277883278,0.11259145265838527,0.11260283294726474,0.015770124112064597,0.015770469662223938,0.07669805986659742,0.07670402779117659,0.017350808518401102,0.017351211565207185,0.02429808620609406,0.02429877475619166,0.024297772647882975,0.024298460667243275
2,10.8455530026915,9.544010448302418,1.9988117376175272,0.8642297708021827,0.48002860717267004,0.15627005939155367,0.3007659021186237,0.07724123553262532,0.1468554180444908,8.374117507879795,0.35664932897393603,7.01333813098298,5.199901384457913,0.44203639862056016,0.8642062096687921,0.18639064753871692,0.3007631811922028,0.14685556174422137,0.07724141457479743,0.5207434380660373,0.369935438391167,0.3384502062912684,0.19762226319068243,0.1293185278231963,3.8760641848296973,0.694710131261575,3.415034428649405,0.37431278702413656,3.2279720335109445,0.3743054395952222,2.4864468043260315,0.17374115122006575,1.7262504637127714,0.7367153036546913,0.5704778258225847,0.12715853793247103,0.12757982877749635,0.27535605567084764,0.33422001649549377,0.15841876624654974,0.19712079378794686,0.09634780141020055,0.031527106224532184,0.11517941614010167,0.11517943488359693,0.03152711342562649,0.2626708570551702,0.3604250595901149,0.7367153036546913,0.5704778258225847,0.12715853793247103,0.12757982877749635,0.27535605567084764,0.19712079378794686,0.09634780141020055,0.12341531505359331,0.04651901752469603,0.04185908409016784,0.047838860277779914,0.12446448684087535,0.058180062720224246,0.05806783682697406,0.06551018487043302,0.04763961531351994,0.058243937307221834,0.02980233713887959,0.06551881044149384,0.10539030883980817,0.0562137051838735,0.06064528855939506,0.07907953800747439,0.11259468919004653,0.11260965590485482,0.015758690180843787,0.015759153998523918,0.07665746638224212,0.0766653747531413,0.0173374211008397,0.017337963153284532,0.024271746998552085,0.02427268565145399,0.024271269250042717,0.024272207274696728
3,10.708147743236225,9.423083230668414,1.9797219777155874,0.853950690762078,0.47550407463241473,0.15543537475836466,0.2984034629940366,0.07691252807136355,0.14602052189551315,8.2680526816851,0.35331505776941324,6.924535946548263,5.13415588431044,0.43911302351193937,0.8539319337935832,0.18537149423675944,0.2984006268159815,0.14602043846035442,0.07691261170241828,0.5156864562326612,0.3669765543079286,0.3359569486579146,0.19582862549138363,0.12828846737737762,3.8271031945104523,0.6878173167410528,3.3717948190806624,0.37085490914192526,3.187023770069613,0.3708480431711278,2.4548706791966635,0.17198760300093383,1.7043559824806438,0.7286212608601677,0.5666679288505582,0.12662951187185967,0.12675334907007846,0.27365493116833206,0.33159563438451484,0.15748142920951935,0.19642155519455434,0.09606872444481758,0.031456339329558936,0.11486200091590348,0.11486195800248811,0.0314563294777331,0.26095909792468647,0.3575884184752855,0.7286212608601677,0.5666679288505582,0.12662951187185967,0.12675334907007846,0.27365493116833206,0.19642155519455434,0.09606872444481758,0.12259301846007004,0.04637485433452888,0.041769560937697923,0.047680311083850804,0.12376056348521522,0.05798740115150885,0.057897471666711546,0.06531330177216768,0.047517360918166614,0.05809791070541232,0.029744882332250984,0.06526738431550164,0.10480152639598903,0.05599591069890832,0.0604437400971529,0.07870228808742011,0.1116887039161709,0.1117027929702406,0.015729587031290865,0.015730026774179548,0.07617819695935829,0.07618566137046713,0.01730339194807545,0.017303906382735646,0.02421440141016115,0.024215296668589955,0.024213931266759345,0.024214825987193017
4,10.549529302086647,9.28349828891598,1.9576742174587423,0.842097115471546,0.47024706413364836,0.15443472113144757,0.29566587354358564,0.0765371151995989,0.1450504806112155,8.145607172893369,0.3494446236597713,6.822016327958247,5.058215120168995,0.4357025059718011,0.8420818817609095,0.18412556353048826,0.2956630198996133,0.14505026640439392,0.07653713422971742,0.509809688358585,0.36353480730139476,0.33306021806679226,0.19372217328225827,0.1270828694640517,3.7705356752318555,0.6798190453476686,3.3219049378843097,0.36682026346753943,3.1398251667477357,0.36681381936275925,2.4184997435637072,0.16995718727202017,1.6791256317206429,0.7192659377237709,0.562230869287216,0.12600840565115798,0.12576637740708502,0.2716284634724262,0.3285526791229835,0.15627961095691018,0.19554347017218646,0.0957146247802668,0.031373267560581584,0.1144908389467361,0.11449075256611223,0.03137324800722891,0.2587454869182068,0.3542996705593092,0.7192659377237709,0.562230869287216,0.12600840565115798,0.12576637740708502,0.2716284634724262,0.19554347017218646,0.0957146247802668,0.12145506171563528,0.04616092450615369,0.04160386135508287,0.04745496261008985,0.12267850775438355,0.05769062999202805,0.057596845920004115,0.06494548429680036,0.04730697661103739,0.05780629792586704,0.029652531430493012,0.06490019473382627,0.10395541141391335,0.055693244886496074,0.060103704912193044,0.07815046597684873,0.11063882968226676,0.11065185889791969,0.015696799489697058,0.015697207546613298,0.07562216424597734,0.07562907296081688,0.017264931883755958,0.01726540925120162,0.02414749185532278,0.024148322614096253,0.02414705091094616,0.024147881186869998
5,10.421081345992944,9.170476623349288,1.9397986499988484,0.832498067821918,0.46596497451201874,0.15360074171078575,0.29346155378797756,0.07625922719093806,0.1442976276053274,8.04647208921933,0.34629088453641255,6.7390323528142835,4.996763284681724,0.4329426807736665,0.8324851005249615,0.18307453019698958,0.2934586925517412,0.14429732530248116,0.07625919737764192,0.5050533583430526,0.36075152294863483,0.33071758211184626,0.1920299694108242,0.1261127829517601,3.7247883156968875,0.6733554050053489,3.281579675870131,0.3635636855042053,3.1016842031563536,0.36355772440420936,2.389117019662494,0.16831741203944903,1.6587530899200702,0.7117089954484332,0.5586406375815005,0.12550707514600568,0.12497945360076929,0.26999091142478293,0.3260769905123329,0.1551994746779307,0.19484292626399996,0.09543188590131571,0.03130987731547341,0.11421244165681767,0.11421231858616218,0.03130985029753245,0.25676115708499303,0.3516217833321601,0.7117089954484332,0.5586406375815005,0.12550707514600568,0.12497945360076929,0.26999091142478293,0.19484292626399996,0.09543188590131571,0.12042221824933831,0.04595820222333133,0.041435976491841296,0.04724058400281338,0.12158368191876205,0.05736957180120536,0.05728698702307412,0.06455851056967787,0.04708835794737224,0.057491199121208876,0.029558811456638717,0.06450432054721367,0.10310264046262059,0.05540552795076633,0.05977411284955971,0.07763421595330458,0.10978638386630322,0.10979939815990548,0.015670867899265896,0.015671276360716673,0.07517421668364957,0.0751811198278128,0.017234549556257923,0.017235027291115056,0.02409561054841762,0.024096441949476834,0.024095199267373493,0.02409603018812993
6,10.33262108212436,9.092631824475456,1.9274728977584101,0.8258895738182793,0.46301975835046744,0.15303280424705495,0.2919340026206598,0.07606033779885368,0.14376534052869477,7.978174631718717,0.3441218650958638,6.681831134443599,4.954356438103687,0.4310233040675217,0.8258743193860734,0.18236277885579824,0.29193049171729624,0.14376477403442298,0.07606020598272366,0.5017551695994926,0.35881686756804554,0.329088145690442,0.1908446870334178,0.12543420535669492,3.6931724868562865,0.6688661969461963,3.2536990697947448,0.36129549727412147,3.0753129818652285,0.36128954487510667,2.3687947920823214,0.16717792090197092,1.64464788658867,0.7064654512384122,0.5561388187701466,0.12515551157645813,0.12442159376784494,0.2688417305342151,0.3243720889857034,0.15449428370319132,0.19433920251098796,0.095228158906097,0.0312642128404176,0.11401136570655433,0.11401114639228108,0.031264163794425696,0.2554614472801034,0.3497782324807079,0.7064654512384122,0.5561388187701466,0.12515551157645813,0.12442159376784494,0.2688417305342151,0.19433920251098796,0.095228158906097,0.11974934912244471,0.045828177901689235,0.04133020595396682,0.047104152288050705,0.12091031575097182,0.057180134529165004,0.05709508090210451,0.06432043792476339,0.04695340677974088,0.057298191900484616,0.029500652946701057,0.06427166348363657,0.10258099582891889,0.05522318202040023,0.05956472410421295,0.07730260425145186,0.10919890266510276,0.10921170163891554,0.015652839904874476,0.015653243140903196,0.0748639517659485,0.07487074892503899,0.017213402382616507,0.017213874080095753,0.024058846950957023,0.02405966930675395,0.024058458871989808,0.024059280767529646
7,10.283382593976082,9.049315195345653,1.9206052100307425,0.8222053104066396,0.46136486033525936,0.1527002448868178,0.29110218445425157,0.07597651804003057,0.1435067468091135,7.9401938500077796,0.3429030217120883,6.650060987406035,4.93086560327502,0.4299758672871958,0.8221924920178486,0.1819377160753673,0.2910988603182239,0.14350619758227667,0.07597638100953327,0.49994456985345315,0.35776059133886856,0.32819920136805997,0.19021709872708742,0.12507238731437667,3.675721011576359,0.6664127025048652,3.23832402163087,0.3600668048743112,3.0607696063975443,0.360061286018455,2.357595917788747,0.16655636223587372,1.636897707384541,0.7035962009546317,0.5547799568746966,0.12496786384996604,0.12414073941426795,0.2682380242256397,0.3234161736650151,0.15402526206002906,0.19410259375620756,0.09513463887145988,0.031243619827246466,0.11392492808786303,0.11392470818754637,0.031243571617517268,0.2545988055404674,0.3487436970884298,0.7035962009546317,0.5547799568746966,0.12496786384996604,0.12414073941426795,0.2682380242256397,0.19410259375620756,0.09513463887145988,0.11929517303305481,0.04573456069051013,0.041247316718782616,0.04700442932161503,0.12037509110176127,0.05701615379831917,0.05693994935883802,0.06412262009246766,0.04684251960616021,0.057132460271677676,0.02945437109278456,0.0640702897959135,0.10216745180449734,0.05509032051509677,0.05941083916466531,0.07706869742232665,0.10887190924722881,0.10888500732092428,0.01564352831642217,0.01564394225200295,0.07469578867099977,0.0747027495951256,0.01720254035984704,0.017203024534916102,0.02404140214008748,0.024042247370726143,0.024041030890567302,0.024041875660675227
8,10.269419080517592,9.037027933351672,1.9186508106106144,0.821160461196453,0.4608966962430256,0.15260836668774783,0.2908756584806939,0.07596613442980879,0.14344825632759603,7.92941475714564,0.3425579985886984,6.641027400421341,4.924161746546109,0.4296748677292306,0.8211444282439047,0.1818209861169882,0.2908716201301882,0.14344744416324667,0.07596589983711982,0.49942437737420226,0.3574555492947065,0.32794072398037444,0.19003580622522526,0.12496729576090891,3.670711730381428,0.6657006366776967,3.2338898730375183,0.3597122012921768,3.0565650997073885,0.3597066267355793,2.354351017658415,0.16637489996567023,1.6346474150303623,0.7027628819396468,0.5543873104051932,0.1249133046751959,0.12406315314331245,0.2680751635467519,0.3231458636817939,0.15390200486682598,0.19404791989097445,0.0951156153628165,0.031239157862556044,0.11390957076814773,0.11390925563810946,0.03123908758905256,0.2543708518191277,0.3484512910022909,0.7027628819396468,0.5543873104051932,0.1249133046751959,0.12406315314331245,0.2680751635467519,0.19404791989097445,0.0951156153628165,0.11917690447110114,0.04571060831581307,0.04122611816935075,0.046979144578268725,0.1202437886755275,0.05697811242412596,0.0569009111009016,0.06407271484214254,0.04681454912079172,0.05709036562638076,0.029442793215555388,0.0640234362419912,0.10206692633445665,0.055056817263927894,0.0593715855968166,0.07700878333286326,0.10878099131105282,0.10879423020150528,0.015641439920548193,0.015641859733237794,0.0746511318942709,0.07465817623862317,0.017200122343859495,0.017200613572475973,0.024037852036119738,0.024038711656893245,0.02403749453264048,0.024038353708410613
9,10.27959152228146,9.045988693783809,1.9200652409149854,0.8219149554320624,0.46122818307150326,0.15266507272013452,0.291076437137122,0.07602504609885406,0.1435572521280255,7.937297494318586,0.3428023380573257,6.647660658604218,4.929134686421672,0.4299195380462245,0.8219015044704132,0.1818876757492057,0.29107271766920007,0.1435565151682346,0.07602483044347637,0.49983012599456217,0.35769977702369415,0.3281465386268281,0.1902075990130866,0.12506261554834283,3.6744700817691767,0.6662599092989845,3.237204447262634,0.3600087023406582,3.059691075251781,0.36000348428209966,2.356762795978719,0.16651743451460754,1.6363429945588526,0.7034088885825297,0.5547115583552494,0.1249626857631163,0.12416344770880128,0.26825689876840575,0.32333906378409766,0.15394093595848485,0.1941678114352166,0.09516892780286197,0.03125028694014977,0.1139647068501703,0.11396441266244046,0.031250222315927056,0.254442584044777,0.3486602673698111,0.7034088885825297,0.5547115583552494,0.1249626857631163,0.12416344770880128,0.26825689876840575,0.1941678114352166,0.09516892780286197,0.11921140777981933,0.04571401508032432,0.04122512039936622,0.04698149540949722,0.12023254860024861,0.05696834851833977,0.056895836310454,0.06406289509065455,0.046809541357897076,0.057078885951377174,0.02944162964285476,0.06401068448928576,0.1020584662877349,0.05506028636769859,0.05937586162435607,0.07702039745727063,0.10885137319178095,0.10886482873885821,0.01564478522545154,0.01564521339498381,0.0746945970745458,0.07470176364846286,0.01720410762626976,0.01720460869443395,0.024046392273649516,0.02404727097728977,0.024046043329390563,0.024046921600158963
10,10.312236760679756,9.074717772020554,1.9246062384507343,0.8243501555132378,0.46231250213522046,0.1528729911971953,0.29166531290767744,0.07613199060524065,0.14379528695478333,7.962509000785883,0.3436007694151546,6.668773187677166,4.944787821104561,0.430636132215819,0.824334198100047,0.18214647816472898,0.2916610488429174,0.14379435142131045,0.07613170176450965,0.501054138502751,0.3584188651177685,0.32874987007531864,0.19065843946143957,0.12531851889624304,3.686131288493202,0.6679198749188158,3.2474605753957237,0.36085726697460246,3.069373596684625,0.36085203629069273,2.3642173636142285,0.1669376555236403,1.6415235366750491,0.7053439627320879,0.555647300845844,0.12509561678540485,0.12439010498288117,0.2687193965754425,0.32396799378546737,0.1541883773894208,0.1944018866869081,0.09526936907297255,0.031271692171448554,0.1140655614093552,0.11406519629673553,0.031271610988492904,0.2548977381785596,0.3493405121135876,0.7053439627320879,0.555647300845844,0.12509561678540485,0.12439010498288117,0.2687193965754425,0.1944018866869081,0.09526936907297255,0.11944710303997913,0.045758517361551294,0.04125951025671789,0.04702788173898337,0.12045364803436269,0.05702941969621628,0.05695730952852026,0.06413745575046478,0.04685216299910134,0.05713758909197072,0.029460534163416173,0.06408519425829647,0.10223064496956977,0.05512248734208666,0.0594466615801776,0.07713486508688504,0.10907184930926449,0.1090855548134673,0.015652747379833454,0.015653184446592423,0.07481667661955872,0.07482398220181581,0.017213494443457076,0.0172140061106806,0.024063760552180274,0.02406465950895692,0.024063419524142562,0.024064318062621125
