cyclo no.,Relative error,58 R. PCA II Rtotal[mmHg*s/ml],58 R1[mmHg*s/ml],58 R2[mmHg*s/ml],70 L. PCA II Rtotal[mmHg*s/ml],70 R1[mmHg*s/ml],70 R2[mmHg*s/ml],61 R. MCA Rtotal[mmHg*s/ml],61 R1[mmHg*s/ml],61 R2[mmHg*s/ml],67 L. MCA Rtotal[mmHg*s/ml],67 R1[mmHg*s/ml],67 R2[mmHg*s/ml],63 R. ACA II Rtotal[mmHg*s/ml],63 R1[mmHg*s/ml],63 R2[mmHg*s/ml],65 L. ACA II Rtotal[mmHg*s/ml],65 R1[mmHg*s/ml],65 R2[mmHg*s/ml]
0,0,29.738800001186,5.9477600002372,23.7910400009488,14.5996000036821,2.91992000073642,11.67968000294568,29.4500000165314,5.89000000330628,23.56000001322512,29.4500000165314,5.89000000330628,23.56000001322512,14.5996000036821,2.91992000073642,11.67968000294568,29.738800001186,5.9477600002372,23.7910400009488
2,0.879001106735676,45.36641838292753,9.073283676585506,36.29313470634202,17.46880806798698,3.493761613597396,13.975046454389584,46.00081658051448,9.200163316102897,36.80065326441159,52.747924363638504,10.549584872727701,42.198339490910804,21.486239676041382,4.297247935208277,17.188991740833107,46.76698423589536,9.353396847179072,37.41358738871629
4,0.06682617771733676,46.562321818297676,9.312464363659535,37.24985745463814,17.409382576194147,3.4818765152388296,13.927506060955318,47.938967668427765,9.587793533685552,38.35117413474221,55.833578083446,11.1667156166892,44.6668624667568,22.734536153748106,4.546907230749621,18.187628922998485,49.579717155762005,9.915943431152401,39.663773724609605
6,0.017261992197589428,46.2793367090574,9.255867341811479,37.023469367245916,17.138914012618546,3.4277828025237094,13.711131210094837,47.61045689052694,9.522091378105388,38.088365512421554,55.48328769126856,11.096657538253712,44.38663015301485,22.646524426785263,4.529304885357052,18.11721954142821,49.396547167971534,9.879309433594306,39.517237734377225
8,0.052982136251900305,48.173397135489495,9.634679427097899,38.538717708391594,17.668388431788614,3.5336776863577226,14.13471074543089,49.581972035503995,9.9163944071008,39.6655776284032,58.128948488614526,11.625789697722904,46.50315879089162,23.539245545404185,4.707849109080837,18.83139643632335,51.47019126711988,10.294038253423976,41.1761530136959
10,0.09602048453273695,51.865156312841194,10.373031262568238,41.49212505027295,18.943810396229537,3.7887620792459074,15.15504831698363,53.55310101732413,10.710620203464826,42.842480813859304,63.152361307944275,12.630472261588855,50.52188904635542,25.38549077388541,5.077098154777082,20.30839261910833,55.5914958229244,11.11829916458488,44.47319665833952
12,0.11203850056349907,56.59817209051087,11.319634418102174,45.278537672408696,20.70014845825048,4.1400296916500965,16.560118766600386,58.71407629959683,11.742815259919366,46.971261039677465,69.52030758913205,13.904061517826408,55.61624607130563,27.821825916118964,5.564365183223793,22.257460732895172,60.930053959006536,12.186010791801307,48.74404316720523
14,0.10658128428916239,61.58571233511764,12.317142467023528,49.26856986809411,22.62779847672787,4.525559695345574,18.102238781382297,64.19836335847623,12.839672671695245,51.35869068678098,76.18891488945661,15.237782977891323,60.95113191156529,30.43725440274896,6.087450880549792,24.349803522199167,66.59505066679665,13.319010133359331,53.276040533437325
16,0.08846102772635471,66.09552656195238,13.219105312390477,52.87642124956191,24.429308954320447,4.885861790864089,19.543447163456356,69.18207820045049,13.836415640090099,55.345662560360395,82.16446044851152,16.432892089702303,65.73156835880921,32.834625845480275,6.566925169096056,26.267700676384223,71.73772317309867,14.347544634619736,57.39017853847894
18,0.06543456129949951,69.56069597767839,13.91213919553568,55.64855678214272,25.867977957168748,5.17359559143375,20.694382365735,73.0185028948899,14.60370057897798,58.41480231591192,86.6685060951896,17.33370121903792,69.33480487615168,34.698634753344514,6.939726950668903,27.758907802675612,75.6904230381381,15.138084607627622,60.55233843051049
20,0.04034243961298141,71.67668875315027,14.335337750630055,57.34135100252022,26.807197561951064,5.361439512390213,21.44575804956085,75.35742556341408,15.071485112682817,60.28594045073127,89.29471292960639,17.858942585921277,71.4357703436851,35.85463447657888,7.170926895315777,28.683707581263107,78.09124303788111,15.618248607576222,62.47299443030489
22,0.017388491494373725,72.44624011896391,14.489248023792783,57.95699209517113,27.22672061606565,5.44534412321313,21.78137649285252,76.19778259445563,15.239556518891126,60.958226075564504,90.07706062726498,18.015412125452997,72.06164850181199,36.29483039137469,7.258966078274938,29.03586431309975,78.94088277309524,15.788176554619048,63.15270621847619
