cycle no.,Relative error,Adjusting coefficient,Total adjusted PR,8 R. radius [mmHg*s/ml],14 Intercoastals [mmHg*s/ml],19 L. radius [mmHg*s/ml],22 Hepatic [mmHg*s/ml],23 Splenic [mmHg*s/ml],24 Gastric [mmHg*s/ml],26 Sup. mesenteric [mmHg*s/ml],28 R. renal [mmHg*s/ml],30 L. renal [mmHg*s/ml],32 Inf. mesenteric [mmHg*s/ml],36 R. int. iliac [mmHg*s/ml],37 R. deep femoral [mmHg*s/ml],41 R. post. tibial [mmHg*s/ml],42 R. ant. tibial [mmHg*s/ml],43 R. interosseous [mmHg*s/ml],44 R. ulnar II [mmHg*s/ml],45 L. ulnar II [mmHg*s/ml],46 L. interosseous [mmHg*s/ml],51 L. int. iliac [mmHg*s/ml],52 L. deep femoral [mmHg*s/ml],54 L. post. tibial [mmHg*s/ml],55 L. ant. tibial [mmHg*s/ml],74 L. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],75 R. sup. thy. asc. ph. lyng. fac. occ. [mmHg*s/ml],78 L. maxillary [mmHg*s/ml],79 R. maxillary [mmHg*s/ml],80 L. superf. temp. fron. bran. [mmHg*s/ml],81 R. superf. temp. fron. bran. [mmHg*s/ml],82 L. superf. temp. pari. bran. [mmHg*s/ml],83 R. superf. temp. pari. bran. [mmHg*s/ml]
0,0,0,0,32.548839851293,8.0493008274949,32.548839851293,20.286755339030698,13.6461900526146,31.5558732145879,5.3425563238188,6.6621342363796,6.6621342363796,38.464659440891,31.674879704364905,19.3813096061124,19.1427856673823,42.5163289145755,463.429477980943,31.321005942366,31.321005942366,463.429477980943,31.674879704364905,19.3813096061124,19.1427856673823,42.5163289145755,171.456000039671,171.456000039671,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371,142.880000023371
2,0.12557076406444181,1.1130136876579977,1.1130136876579977,36.227304271877216,8.95898199707867,36.227304271877216,22.57943637051013,15.18839631294246,35.12211881383671,5.946338315494118,7.415046594105457,7.415046594105457,42.8116924488151,35.25457466587865,21.571662876340536,21.306182467699834,47.32125603089203,515.8033522569901,34.86070832507084,34.86070832507084,515.8033522569901,35.25457466587865,21.571662876340536,21.306182467699834,47.32125603089203,190.83287487524402,190.83287487524402,159.02739571858694,159.02739571858694,159.02739571858694,159.02739571858694,159.02739571858694,159.02739571858694
4,0.19475321253352287,1.1752778912801707,1.3081003797966582,42.57714977141697,10.52929346954363,42.57714977141697,26.537112363827937,17.850586390602533,41.278249736817614,6.988599956272409,8.714740324864472,8.714740324864472,50.31563562337861,41.43392217129318,25.352698456712243,25.040685201868804,55.61562600071584,606.2122761558384,40.971019768822345,40.971019768822345,606.2122761558384,41.43392217129318,25.352698456712243,25.040685201868804,55.61562600071584,224.28165877030943,224.28165877030943,186.9013822959181,186.9013822959181,186.9013822959181,186.9013822959181,186.9013822959181,186.9013822959181
6,0.2328122916604071,1.2095310624943665,1.5821880422247363,51.49838520100374,12.7355075175321,51.49838520100374,32.09746171295319,21.590838723172958,49.927325262080814,8.452928730458249,10.540749124495825,10.540749124495825,60.85832421562452,50.11561590715313,30.664876301446444,30.287486577803328,67.26882720793515,733.2325784758995,49.55572107246138,49.55572107246138,733.2325784758995,50.11561590715313,30.664876301446444,30.287486577803328,67.26882720793515,271.2756330304513,271.2756330304513,226.06302751004756,226.06302751004756,226.06302751004756,226.06302751004756,226.06302751004756,226.06302751004756
8,0.2297461592583243,1.206771543332492,1.9093395055577589,62.146785788146445,15.368848062054765,62.146785788146445,38.73430340839609,26.05520976780636,60.250875360984566,10.200753849734662,12.72027608884844,12.72027608884844,73.44209383831837,60.47809915333356,37.00550010039648,36.55007692115786,81.1781064278866,884.8442103490237,59.802433999568706,59.802433999568706,884.8442103490237,60.47809915333356,37.00550010039648,36.55007692115786,81.1781064278866,327.3677143406564,327.3677143406564,272.8064285987157,272.8064285987157,272.8064285987157,272.8064285987157,272.8064285987157,272.8064285987157
10,0.19888613268194508,1.1789975194137505,2.2511065407712745,73.27090628376239,18.119833741409394,73.27090628376239,45.66764763471857,30.719027684048623,71.03563259310786,12.026663484987433,14.997173955010355,14.997173955010355,86.58804645592926,71.3035288806391,43.62939282303275,43.09245002442689,95.70878610918375,1043.2291290691178,70.50692134039605,70.50692134039605,1043.2291290691178,71.3035288806391,43.62939282303275,43.09245002442689,95.70878610918375,385.9657231437832,385.9657231437832,321.6381025980103,321.6381025980103,321.6381025980103,321.6381025980103,321.6381025980103,321.6381025980103
12,0.15316078654558865,1.1378447078910299,2.5614096643154776,83.37091295735863,20.617556930527996,83.37091295735863,51.96269118299683,34.95348308185277,80.82751861775934,13.68447539997924,17.06445501802972,17.06445501802972,98.52375042650175,81.1323429907904,49.64347373218669,49.03251621035281,108.90173577300924,1187.0327436290638,80.22592731685874,80.22592731685874,1187.0327436290638,81.1323429907904,49.64347373218669,49.03251621035281,108.90173577300924,439.16905550648806,439.16905550648806,365.9742128972581,365.9742128972581,365.9742128972581,365.9742128972581,365.9742128972581,365.9742128972581
14,0.10245458255187691,1.0922091242966891,2.7975950064270845,91.05847183297217,22.51868380022912,91.05847183297217,56.75412543308026,38.17651314794955,88.28055332857727,14.946308893070912,18.637953471842483,18.637953471842483,107.60853917575504,88.61348529010982,54.22105497207732,53.55376159217266,118.94346946302785,1296.4879934305961,87.62348982063612,87.62348982063612,1296.4879934305961,88.61348529010982,54.22105497207732,53.55376159217266,118.94346946302785,479.6644495329454,479.6644495329454,399.72037458368436,399.72037458368436,399.72037458368436,399.72037458368436,399.72037458368436,399.72037458368436
16,0.05419337301965653,1.048774035717691,2.934045005194193,95.4997609905519,23.617010888216882,95.4997609905519,59.52225317407962,40.03853576380454,92.58635218980281,15.675300696869193,19.547001680182788,19.547001680182788,112.85704190904185,92.93552258671872,56.865634643936296,56.165794672885994,124.74482249100365,1359.7229451297374,91.89724104285655,91.89724104285655,1359.7229451297374,92.93552258671872,56.865634643936296,56.165794672885994,124.74482249100365,503.0596205269718,503.0596205269718,419.2163504107178,419.2163504107178,419.2163504107178,419.2163504107178,419.2163504107178,419.2163504107178
18,0.013816479085710296,1.0124348311771392,2.970529359499911,96.68728439592657,23.91068443152052,96.68728439592657,60.262402343582245,40.536408196607304,93.73764784859017,15.870220414685656,19.79006534609512,19.79006534609512,114.26040017233213,94.09116012044377,57.57274921051452,56.8642068475732,126.29600329890148,1376.6308704001083,93.03996772086934,93.03996772086934,1376.6308704001083,94.09116012044377,57.57274921051452,56.8642068475732,126.29600329890148,509.31508198026046,509.31508198026046,424.4292349547715,424.4292349547715,424.4292349547715,424.4292349547715,424.4292349547715,424.4292349547715
20,0.015216418726643128,0.9863052231460212,2.9298486227833673,95.36317361150716,23.58323294380494,95.36317361150716,59.4371221908022,39.98127113189297,92.45393167848688,15.652881287483076,19.519044817254688,19.519044817254688,112.69562948872571,92.80260267866231,56.78430325720644,56.08546422381719,124.56640771617366,1357.77821781968,91.76580612443064,91.76580612443064,1357.77821781968,92.80260267866231,56.78430325720644,56.08546422381719,124.56640771617366,502.34012558417487,502.34012558417487,418.616771291761,418.616771291761,418.616771291761,418.616771291761,418.616771291761,418.616771291761
22,0.031623424006944845,0.9715389183937496,2.84646196203637,92.64903454511904,22.912028626452095,92.64903454511904,57.7454774056891,38.84336091148654,89.82259278416677,15.207383355787071,18.963511689834743,18.963511689834743,109.48818998117933,90.16134023055247,55.16816056824902,54.48921124961869,121.02111302076618,1319.134381159125,89.15405202765987,89.15405202765987,1319.134381159125,90.16134023055247,55.16816056824902,54.48921124961869,121.02111302076618,488.0429822758296,488.0429822758296,406.70248520228114,406.70248520228114,406.70248520228114,406.70248520228114,406.70248520228114,406.70248520228114
24,0.03635471065309418,0.9672807604122152,2.7533278911229857,89.61762858626034,22.162364472381025,89.61762858626034,55.85608929534135,37.57243567942882,86.88366585046559,14.709809336265783,18.343040007429284,18.343040007429284,105.90581966115224,87.21132973799324,53.3631003049991,52.706365691793,117.06139422865935,1275.9733072934955,86.23699923914504,86.23699923914504,1275.9733072934955,87.21132973799324,53.3631003049991,52.706365691793,117.06139422865935,472.07458700960973,472.07458700960973,393.3954891480002,393.3954891480002,393.3954891480002,393.3954891480002,393.3954891480002,393.3954891480002
26,0.0322165736728535,0.9710050836944318,2.6734953793580885,87.01917294589823,21.51976856937084,87.01917294589823,54.23654666106658,36.48302605150744,84.3644812308104,14.283299645689892,17.811185097624183,17.811185097624183,102.83508928380454,84.68264453134282,51.81584167785002,51.1781490297888,113.66720890038626,1238.9765680403816,83.73656466376268,83.73656466376268,1238.9765680403816,84.68264453134282,51.81584167785002,51.1781490297888,113.66720890038626,458.3868238692804,458.3868238692804,381.98901986516586,381.98901986516586,381.98901986516586,381.98901986516586,381.98901986516586,381.98901986516586
28,0.022991335441123466,0.9793077981029888,2.6181748731976846,85.21855465039079,21.074477173356463,85.21855465039079,53.11427308735913,35.72811191063573,82.61879435224587,13.987746725665769,17.442632459559107,17.442632459559107,100.70720485424688,82.93037415352745,50.74365782038838,50.11916043734909,111.31518406474973,1213.339414748824,82.00387076157797,82.00387076157797,1213.339414748824,82.93037415352745,50.74365782038838,50.11916043734909,111.31518406474973,448.9017911628476,448.9017911628476,374.08482594367445,374.08482594367445,374.08482594367445,374.08482594367445,374.08482594367445,374.08482594367445
30,0.012350397381002663,0.9888846423570976,2.589072923110432,84.27131993764047,20.840226822437423,84.27131993764047,52.52388894605035,35.33098116884337,81.70045690499525,13.832267918191658,17.24875136153741,17.24875136153741,99.58780825507489,82.00857338535128,50.1796239156057,49.56206804432595,110.07787598278452,1199.852713211661,81.09236840996068,81.09236840996068,1199.852713211661,82.00857338535128,50.1796239156057,49.56206804432595,110.07787598278452,443.91208720753303,443.91208720753303,369.9267393145276,369.9267393145276,369.9267393145276,369.9267393145276,369.9267393145276,369.9267393145276
32,0.0030162196951870612,0.9972854022743316,2.5820446316417667,84.04255720419869,20.78365399010282,84.04255720419869,52.38130771657414,35.2350717677168,81.47867303049489,13.794718875160099,17.20192794032076,17.20192794032076,99.31746741728136,81.7859530985541,50.043406422649504,49.4275269671334,109.77905883099525,1196.5955957652395,80.87223525110595,80.87223525110595,1196.5955957652395,81.7859530985541,50.043406422649504,49.4275269671334,109.77905883099525,442.7070444652028,442.7070444652028,368.9225370293205,368.9225370293205,368.9225370293205,368.9225370293205,368.9225370293205,368.9225370293205
34,0.003559595701073321,1.003203636130966,2.590316563115461,84.31179897699684,20.85023725495901,84.31179897699684,52.549118366562205,35.34795211670904,81.73970105131855,13.83891213496508,17.257036658192646,17.257036658192646,99.6356444443354,82.04796553290612,50.20372728758172,49.58587477838961,110.13075099028967,1200.4290526499879,81.13132046594838,81.13132046594838,1200.4290526499879,82.04796553290612,50.20372728758172,49.58587477838961,110.13075099028967,444.12531674828466,444.12531674828466,370.1044305984753,370.1044305984753,370.1044305984753,370.1044305984753,370.1044305984753,370.1044305984753
36,0.007055983417287034,1.0063503850755584,2.6067660707588414,84.84721136691384,20.98264429044475,84.84721136691384,52.88282550357097,35.57242522428254,82.25877962895544,13.926794556048925,17.366625486235193,17.366625486235193,100.26836915380834,82.56900170870621,50.522540288086184,49.9007641775408,110.83012366773843,1208.0522393902029,81.64653559259568,81.64653559259568,1208.0522393902029,82.56900170870621,50.522540288086184,49.9007641775408,110.83012366773843,446.9456835314406,446.9456835314406,372.45473625094587,372.45473625094587,372.45473625094587,372.45473625094587,372.45473625094587,372.45473625094587
38,0.007909203144375201,1.0071182828299376,2.625321768921988,85.45117781475504,21.13200468702411,85.45117781475504,53.25926041235163,35.82563980797579,82.84432088759986,14.025929418613318,17.49024603824782,17.49024603824782,100.98210776434175,83.15675121585438,50.882174019143704,50.25597193038656,111.61904383408236,1216.651496903522,82.22771872502835,82.22771872502835,1216.651496903522,83.15675121585438,50.882174019143704,50.25597193038656,111.61904383408236,450.1271693164372,450.1271693164372,375.10597440492995,375.10597440492995,375.10597440492995,375.10597440492995,375.10597440492995,375.10597440492995
40,0.006920704068472386,1.006228633661625,2.6416739364644926,85.98342189731754,21.263628202755328,85.98342189731754,53.59099283454926,36.04878459403301,83.36032781335484,14.11329179472567,17.599186373471756,17.599186373471756,101.61108831998459,83.67470415566885,51.199100441016014,50.56899796884985,112.31427796778574,1224.2295733716019,82.73988506179771,82.73988506179771,1224.2295733716019,83.67470415566885,51.199100441016014,50.56899796884985,112.31427796778574,452.9308465552536,452.9308465552536,377.4423721037852,377.4423721037852,377.4423721037852,377.4423721037852,377.4423721037852,377.4423721037852
42,0.004953883092909069,1.0044584947836181,2.6534518259302393,86.36677853532437,21.358431978178107,86.36677853532437,53.82992799655102,36.20950791210128,83.73198940007138,14.176215832572137,17.677652254113806,17.677652254113806,102.06412082721701,84.04776738766769,51.427371363258224,50.79445958250676,112.81503059023096,1229.6877945384304,83.1087804077429,83.1087804077429,1229.6877945384304,84.04776738766769,51.427371363258224,50.79445958250676,112.81503059023096,454.95023637195993,454.95023637195993,379.1251969509264,379.1251969509264,379.1251969509264,379.1251969509264,379.1251969509264,379.1251969509264
44,0.0027442027127420688,1.002469782441468,2.660005274659203,86.58008568847706,21.411182658455097,86.58008568847706,53.96287620754238,36.29893751895678,83.93878919728085,14.211228001521881,17.72131220925739,17.72131220925739,102.31619700073992,84.25534708780633,51.55438578206205,50.919910846907484,113.09365917191637,1232.7248558618687,83.31404101432575,83.31404101432575,1232.7248558618687,84.25534708780633,51.55438578206205,50.919910846907484,113.09365917191637,456.07386447749303,456.07386447749303,380.06155370547384,380.06155370547384,380.06155370547384,380.06155370547384,380.06155370547384,380.06155370547384
46,0.0008078003251042227,1.0007270202925937,2.6619391524722866,86.6430311677071,21.426749022736225,86.6430311677071,54.00210831359199,36.325327583132655,83.99981440036304,14.221559852661665,17.73419596284491,17.73419596284491,102.39058295222048,84.3166024348987,51.59186686669782,50.95693065539025,113.17588055709804,1233.621071847265,83.37461201280117,83.37461201280117,1233.621071847265,84.3166024348987,51.59186686669782,50.95693065539025,113.17588055709804,456.4054394318898,456.4054394318898,380.33786616745243,380.33786616745243,380.33786616745243,380.33786616745243,380.33786616745243,380.33786616745243
48,0.0005761886092192319,0.9994814302517027,2.6605587513560063,86.59810071284274,21.415637758888675,86.59810071284274,53.974104453876286,36.30649036715105,83.95625463775242,14.214184981948476,17.7249995453082,17.7249995453082,102.33748629339094,84.27287839559675,51.565112885282566,50.93050593268628,113.11719096920422,1232.9813532785429,83.33137646123531,83.33137646123531,1232.9813532785429,84.27287839559675,51.565112885282566,50.93050593268628,113.11719096920422,456.1687613780421,456.1687613780421,380.14063445592603,380.14063445592603,380.14063445592603,380.14063445592603,380.14063445592603,380.14063445592603
50,0.0013344978685684136,0.9987989519182884,2.657363292371409,86.49409223010171,21.389916548239732,86.49409223010171,53.90927895925986,36.2628845265419,83.85541913917206,14.197113062342813,17.70371096860597,17.70371096860597,102.21457405179108,84.1716626166594,51.50318070536846,50.869335946235225,112.98133178398206,1231.5004833894016,83.23129147139015,83.23129147139015,1231.5004833894016,84.1716626166594,51.50318070536846,50.869335946235225,112.98133178398206,455.6208807622523,455.6208807622523,379.6840672761321,379.6840672761321,379.6840672761321,379.6840672761321,379.6840672761321,379.6840672761321
52,0.0015414870846440617,0.9986126616238203,2.653676630296451,86.37409565663808,21.36024149614908,86.37409565663808,53.8344885477275,36.21257563520726,83.73908329814965,14.177416862560463,17.67914993097843,17.67914993097843,102.07276785060417,84.05488803892446,51.43172836628058,50.798762964306235,112.82458844660626,1229.7919755085115,83.1158215066329,83.1158215066329,1229.7919755085115,84.05488803892446,51.43172836628058,50.798762964306235,112.82458844660626,454.988780429382,454.988780429382,379.15731699877597,379.15731699877597,379.15731699877597,379.15731699877597,379.15731699877597,379.15731699877597
